Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes
Crassulaceae,Sedum divergens S. Watson,,Open,1,,,,,
Crassulaceae,Sedum lanceolatum Torr.,,Shoreline,93,,,,,
Crassulaceae,Sedum oreganum Nutt.,,Open,2,,,,,
Crassulaceae,Sedum spathulifolium Hook.,,Shoreline,79,,,,,
Cucurbitaceae,Marah oregana (Torr. & A. Gray) Howell,,Open,5,,,,,
Cupressaceae,Juniperus scopulorum Sarg.,,Open,61,,,,,
Cupressaceae,Thuja plicata Donn ex D. Don,,Forest,24,,,,,
Cyperaceae,Bolboschoenus maritimus (L.) Palla,ssp. paludosus,Wetland,8,,,,,
Cyperaceae,Carex aquatilis Wahlenb.,"var. aquatilis, var. dives",Wetland,4,,,,,
Cyperaceae,Carex arcta Boott,,Wetland,3,,,,,
Cyperaceae,Carex aurea Nutt.,,Wetland,3,,,,,
Cyperaceae,Carex canescens L.,,Wetland,2,,,,,
Cyperaceae,Carex canescens L.*,,Wetland,2,,,,,
Cyperaceae,Carex cusickii Mack. ex Piper & Beattie,,Wetland,4,,,,,
Cyperaceae,Carex densa (L.H. Bailey) L.H. Bailey,,Open,1,,,,,
Cyperaceae,Carex echinata Murray,"ssp. echinata, ssp. phyllomanica",Wetland,2,,,,,
Cyperaceae,Carex exsiccata L.H. Bailey,,Wetland,5,,,,,
Cyperaceae,Carex hendersonii L.H. Bailey,,Wetland,4,,,,,
Cyperaceae,Carex hoodii Boott,,Open,1,,,,,
Cyperaceae,Carex inops L.H. Bailey,ssp. Inops,Open,17,,,,,
Cyperaceae,Carex interior L.H. Bailey,,Wetland,2,,,,,
Cyperaceae,Carex kelloggii W. Boott,"var. impressa, var. kelloggii, var. limnophila",Wetland,5,,,,,
Cyperaceae,Carex laeviculmis Meinsh.,,Wetland,1,,,,,
Cyperaceae,Carex lasiocarpa Ehrh.,,Wetland,1,,,,,
Cyperaceae,Carex leporina L.,,Wetland,2,,,,,
Cyperaceae,Carex leptalea Wahlenb.,,Wetland,2,,,,,
Cyperaceae,Carex leptopoda Mack.,,Forest,17,,,,,
Cyperaceae,Carex leptopoda Mack.,,Forest,17,,,,,
Cyperaceae,Carex lyngbyei Hornem.,,Shoreline,15,,,,,
Cyperaceae,Carex macrocephala Willd. ex Spreng.,,Shoreline,5,,,,,
Cyperaceae,Carex obnupta L.H. Bailey,,Wetland,12,,,,,
Cyperaceae,Carex pachystachya Cham. ex Steud.,,Wetland,7,,,,,
Cyperaceae,Carex pansa L.H. Bailey,,Open,3,,,,,
Cyperaceae,Carex pauciflora Lightf.,,Open,1,,,,,
Cyperaceae,Carex pendula Huds.*,,Forest,1,,,,,
Cyperaceae,Carex praticola Rydb.,,Open,2,,,,,
Cyperaceae,Carex rossii Boott,,Open,13,,,,,
Cyperaceae,Carex stipata Muhl. ex Willd.,var. stipata,Wetland,3,,,,,
Cyperaceae,Carex subbracteata Mack.,,Wetland,1,,,,,
Cyperaceae,Carex tumulicola Mack.,,Open,3,,,,,
Cyperaceae,Carex unilateralis Mack.,,Wetland,1,,,,,
Cyperaceae,Carex utriculata Boott,,Wetland,6,,,,,
Cyperaceae,Carex vesicaria L.,var. major,Wetland,2,,,,,
Cyperaceae,Carex viridula Michx.,var. viridula,Shoreline,3,,,,,
Cyperaceae,Carex vulpinoidea Michx.,,Open,1,,,,,
Cyperaceae,Carex zikae E.H. Roalson & M.J. Waterway,,Open,9,,,,,
Cyperaceae,Dulichium arundinaceum (L.) Britton,,Wetland,4,,,,,
Cyperaceae,Eleocharis acicularis (L.) Roem. & Schult.,,Wetland,1,,,,,
Cyperaceae,Eleocharis macrostachya Britton,,Wetland,4,,,,,
Cyperaceae,Eleocharis obtusa (Willd.) Schult.,,Wetland,1,,,,,
Cyperaceae,Eleocharis palustris (L.) Roem. & Schult.,,Wetland,7,,,,,
Cyperaceae,"Eleocharis parvula (Roem. & Schultes) Link ex Bluff Nees, & Schauer",,Wetland,1,,,,,
Cyperaceae,Eriophorum chamissonis C.A. Mey.,,Wetland,1,,,,,
Cyperaceae,Eriophorum gracile W.D.J. Koch ex Roth,,Wetland,1,,,,,
Cyperaceae,Rhynchospora alba (L.) Vahl,,Wetland,1,,,,,
Cyperaceae,Schoenoplectus acutus (Muhl. ex Bigelow) Á. Löve & D. Löve,,Wetland,6,,,,,
Cyperaceae,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,,Shoreline,2,,,,,
Cyperaceae,Schoenoplectus subterminalis (Torr.) Soják,,Wetland,1,,,,,
Cyperaceae,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,,Wetland,3,,,,,
Cyperaceae,Scirpus atrocinctus Fernald,,Wetland,1,,,,,
Cyperaceae,Scirpus cyperinus (L.) Kunth*,,Wetland,1,,,,,
Cyperaceae,Scirpus microcarpus J. Presl & C. Presl,,Wetland,5,,,,,
Cystopteridaceae,Cystopteris fragilis (L.) Bernh.,,Forest,7,,,,,
Dennstaedtiaceae,Pteridium aquilinum (L.) Kuhn,var. pubescens,Forest,30,,,,,
Dipsacaceae,Dipsacus fullonum L.*,,Open,5,,,,,
Droseraceae,Drosera rotundifolia L.,,Wetland,3,,,,,
Dryopteridaceae,Dryopteris arguta (Kaulf.) Maxon,,Forest,1,,,,,
Dryopteridaceae,Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy,,Forest,14,,,,,
Dryopteridaceae,Polystichum munitum (Kaulf.) C. Presl,,Forest,50,,,,,
Elaeagnaceae,Elaeagnus umbellata Thunb.*,,Open,1,,,,,
Elaeagnaceae,Shepherdia canadensis (L.) Nutt.,,Forest,21,,,,,
Equisetaceae,Equisetum arvense L.,,Open,13,,,,,
Equisetaceae,Equisetum ferrissii Clute,,Open,1,,,,,
Equisetaceae,Equisetum fluviatile L.,,Wetland,3,,,,,
Equisetaceae,Equisetum hyemale L.,ssp. affine,Wetland,9,,,,,
Equisetaceae,Equisetum palustre L.,,Wetland,5,,,,,
Equisetaceae,Equisetum telmateia Ehrh.,ssp. braunii,Wetland,13,,,,,
Ericaceae,Allotropa virgata Torr. & A. Gray,,Forest,2,,,,,
Ericaceae,Arbutus menziesii Pursh,,Forest,62,,,,,
Ericaceae,Arctostaphylos columbiana Piper,,Open,2,,,,,
Ericaceae,Arctostaphylos media Greene,,Open,1,,,,,
Ericaceae,Arctostaphylos uva-ursi (L.) Spreng.,,Open,7,,,,,
Ericaceae,Chimaphila menziesii (R. Br.) Spreng.,,Forest,3,,,,,
Ericaceae,Chimaphila umbellata (L.) W.P.C. Barton,ssp. umellata,Forest,4,,,,,
Ericaceae,Gaultheria shallon Pursh,,Forest,37,,,,,
Ericaceae,Kalmia microphylla (Hook.) A. Heller,var. occidentalis,Wetland,3,,,,,
Ericaceae,Moneses uniflora (L.) A. Gray,,Forest,1,,,,,
Ericaceae,Monotropa hypopitys L.,,Forest,2,,,,,
Ericaceae,Monotropa uniflora L.,,Forest,13,,,,,
Ericaceae,Orthilia secunda (L.) House,,Forest,2,,,,,
Ericaceae,Pterospora andromedea Nutt.,,Forest,2,,,,,
Ericaceae,Pyrola aphylla Sm.,,Forest,1,,,,,
Ericaceae,Pyrola asarifolia Michx.,"ssp. asarifolia, ssp. bracteata",Forest,4,,,,,
Ericaceae,Pyrola chlorantha Sw.,,Forest,2,,,,,
Ericaceae,Pyrola dentata Sm.,,Forest,1,,,,,
Ericaceae,Pyrola minor L.,,Forest,1,,,,,
Ericaceae,Pyrola picta Sm.,,Forest,3,,,,,
Ericaceae,Rhododendron columbianum (Piper) Harmaja,,Forest,1,,,,,
Ericaceae,Rhododendron groenlandicum (Oeder) Kron & Judd,,Forest,5,,,,,
Ericaceae,Rhododendron macrophyllum D. Don ex G. Don,,Forest,1,,,,,
Ericaceae,Vaccinium cespitosum Michx.,,Forest,1,,,,,
Ericaceae,Vaccinium ovatum Pursh,,Forest,4,,,,,
Ericaceae,Vaccinium oxycoccos L.,,Forest,2,,,,,
Ericaceae,Vaccinium parvifolium Sm.,,Forest,21,,,,,
Ericaceae,Vaccinium uliginosum L.,,Forest,1,,,,,
Euphorbiaceae,Euphorbia characias L.*,,Open,1,,,,,
Euphorbiaceae,Euphorbia cyparissias L.*,,Open,4,,,,,
Euphorbiaceae,Euphorbia elongata Poir.*,,Open,1,,,,,
Euphorbiaceae,Euphorbia myrsinites L.*,,Open,1,,,,,
Euphorbiaceae,Euphorbia peplus L.*,,Open,3,,,,,
Fabaceae,Acmispon americanus (Nutt.) Rydb.,var. americanus,Open,4,,,,,
Fabaceae,Acmispon denticulatus (Drew) Sokoloff,,Open,10,,,,,
Fabaceae,Acmispon parviflorus (Benth.) D.D. Sokoloff,,Open,17,,,,,
Fabaceae,Cytisus scoparius (L.) Link*,,Open,8,,,,,
Fabaceae,Laburnum anagyroidis Medik.*,,Forest,1,,,,,
Fabaceae,Lathyrus aphaca L.*,,Open,1,,,,,
Fabaceae,Lathyrus japonicus Willd.,,Shoreline,57,,,,,
Fabaceae,Lathyrus latifolius L.*,,Open,4,,,,,
Fabaceae,Lathyrus littoralis (Nutt.) Endl. ex Walp.,,Shoreline,1,,,,,
Fabaceae,Lathyrus nevadensis S. Watson,var. nevadensis,Forest,47,,,,,
Fabaceae,Lathyrus palustris L.,,Shoreline,5,,,,,
Fabaceae,Lathyrus sylvestris L.*,,Open,1,,,,,
Fabaceae,Lotus corniculatus L.*,,Open,8,,,,,
Fabaceae,Lotus tenuis Waldst. & Kit. ex Willd.*,,Open,2,,,,,
Fabaceae,Lupinus arboreus Sims*,,Open,4,,,,,
Fabaceae,Lupinus bicolor Lindl.,,Open,15,,,,,
Fabaceae,Lupinus latifolius Lindl. ex J. Agardh,var. latifolius,Open,2,,,,,
Fabaceae,Lupinus littoralis Douglas,var. littoralis,Open,2,,,,,
Fabaceae,Lupinus microcarpus Sims,var. microcarpus,Open,7,,,,,
Fabaceae,Lupinus pachylobus Greene,,Open,1,,,,,
Fabaceae,Lupinus rivularis Douglas ex Lindl.,,Open,1,,,,,
Fabaceae,Medicago arabica (L.) Huds.*,,Open,1,,,,,
Fabaceae,Medicago lupulina L.*,,Open,7,,,,,
Fabaceae,Medicago sativa L.*,,Open,2,,,,,
Fabaceae,Melilotus albus Medik.*,,Open,2,,,,,
Fabaceae,Melilotus officinalis (L.) Lam.*,,Open,2,,,,,
Fabaceae,Oxytropis campestris (L.) DC.,var. spicata,Shoreline,3,,,,,
Fabaceae,Pisum sativum L.*,,Open,1,,,,,
Fabaceae,Rupertia physodes (Douglas ex Hook.) J.W. Grimes,,Open,2,,,,,
Fabaceae,Trifolium arvense L.*,,Open,2,,,,,
Fabaceae,Trifolium campestre Schreb.*,,Open,8,,,,,
Fabaceae,Trifolium depauperatum Desv.,,Open,1,,,,,
Fabaceae,Trifolium dichotomum Hook. & Arn.,,Open,8,,,,,
Fabaceae,Trifolium dubium Sibth.*,,Open,50,,,,,
Fabaceae,Trifolium fragiferum L.*,,Open,1,,,,,
Fabaceae,Trifolium hybridum L.*,,Open,1,,,,,
Fabaceae,Trifolium incarnatum L.*,,Open,2,,,,,
Fabaceae,Trifolium microcephalum Pursh,,Open,58,,,,,
Fabaceae,Trifolium microdon Hook. & Arn.,,Open,53,,,,,
Fabaceae,Trifolium oliganthum Steud.,,Open,43,,,,,
Fabaceae,Trifolium pratense L.*,,Open,14,,,,,
Fabaceae,Trifolium repens L.*,,Open,17,,,,,
Fabaceae,Trifolium retusum L.*,,Open,1,,,,,
Fabaceae,Trifolium striatum L.*,,Open,1,,,,,
Fabaceae,Trifolium subterraneum L.*,,Open,17,,,,,
Fabaceae,Trifolium suffocatum L.*,,Open,2,,,,,
Fabaceae,Trifolium variegatum Nutt.,,Open,40,,,,,
Fabaceae,Trifolium willdenovii Spreng.,,Open,87,,,,,
Fabaceae,Trifolium wormskioldii Lehm.,,Open,2,,,,,
Fabaceae,Ulex europaeus L.*,,Open,1,,,,,
Fabaceae,Vicia americana Muhl. ex Willd.,var. americana,Forest,76,,,,,
Fabaceae,Vicia cracca L.*,,Open,2,,,,,
Fabaceae,Vicia hirsuta (L.) Gray*,,Open,57,,,,,
Fabaceae,Vicia lathyroides L.*,,Open,1,,,,,
Fabaceae,Vicia nigricans Hook. & Arn.,var. gigantea,Forest,32,,,,,
Fabaceae,Vicia sativa L.*,"var. angustifolia, var. sativa",Open,71,,,,,
Fabaceae,Vicia tetrasperma (L.) Schreb.*,,Open,1,,,,,
Fabaceae,Vicia villosa Roth*,var. glabrescens,Open,4,,,,,
Fagaceae,Quercus garryana Douglas ex Hook.,var. garryana,Open,38,,,,,
Gentianaceae,Centaurium erythraea Rafn*,,Open,5,,,,,
Gentianaceae,"Centaurium pulchellum (Sw.) Hayek ex Hand.-Mazz., Stadlm., Janch. & Faltis*",,Open,1,,,,,
Gentianaceae,Gentianella amarella (L.) Börner,ssp. acuta,Wetland,3,,,,,
Geraniaceae,Erodium cicutarium (L.) L\\\'Hér. ex Aiton*,ssp. cicutarium,Open,26,,,,,
Geraniaceae,Geranium bicknellii Britton,,Forest,1,,,,,
Geraniaceae,Geranium carolinianum L.,,Forest,5,,,,,
Geraniaceae,Geranium dissectum L.*,,Open,23,,,,,
Geraniaceae,Geranium lucidum L.*,,Open,2,,,,,
Geraniaceae,Geranium molle L.*,,Open,99,,,,,
Geraniaceae,Geranium pusillum L.*,,Open,2,,,,,
Geraniaceae,Geranium robertianum L.*,,Forest,6,,,,,
Grossulariaceae,Ribes divaricatum Douglas,var. divaricatum,Forest,63,,,,,
Grossulariaceae,Ribes lacustre (Pers.) Poir.,,Forest,10,,,,,
Grossulariaceae,Ribes sanguineum Pursh,var. sanguineum,Forest,54,,,,,
Haloragaceae,Myriophyllum sibiricum Kom.,,Wetland,4,,,,,
Haloragaceae,Myriophyllum verticillatum L.,,Wetland,3,,,,,
Hydrangeaceae,Philadelphus lewisii Pursh,,Forest,7,,,,,
Hydrocharitaceae,Egeria densa Planch.*,,Wetland,1,,,,,
Hydrocharitaceae,Elodea canadensis Michx.,,Wetland,3,,,,,
Hydrocharitaceae,Najas canadensis Michx.,,Wetland,1,,,,,
Hydrocharitaceae,Najas flexilis (Willd.) Rostk. & W.L.E. Schmidt,,Wetland,3,,,,,
Hydrophyllaceae,Nemophila parviflora Douglas ex Benth.,"var. parviflora, var. austiniae",Forest,14,,,,,
Hydrophyllaceae,Nemophila pedunculata Douglas ex Benth.,,Forest,1,,,,,
Hydrophyllaceae,Phacelia linearis (Pursh) Holz.,,Open,1,,,,,
Hypericaceae,Hypericum anagalloides Cham. & Schltdl.,,Wetland,3,,,,,
Hypericaceae,Hypericum calycinum L.*,,Open,1,,,,,
Hypericaceae,Hypericum perforatum L.*,,Open,7,,,,,
Hypericaceae,Hypericum scouleri Hook.,,Wetland,2,,,,,
Iridaceae,Crocus stellaris Haw.*,,Open,1,,,,,
Iridaceae,Iris foetidissima L.*,,Open,2,,,,,
Iridaceae,Iris germanica L.*,,Open,7,,,,,
Iridaceae,Iris pseudacorus L.*,,Wetland,6,,,,,
Iridaceae,Olsynium douglasii (A. Dietr.) E.P. Bicknell,var. douglasii,Open,6,,,,,
Iridaceae,Sisyrinchium californicum (Ker Gawl.) W.T.Aiton,,Open,1,,,,,
Iridaceae,Sisyrinchium idahoense E.P. Bicknell,"var. macounii, var. segetum",Open,8,,,,,
Isoetaceae,Isoetes nuttallii A. Br.,,Wetland,1,,,,,
Isoetaceae,Isoetes occidentalis L.F. Hend.,,Wetland,1,,,,,
Juncaceae,Juncus acuminatus Michx.,,Wetland,4,,,,,
Juncaceae,Juncus alpinoarticulatus Chaix,,Wetland,1,,,,,
Juncaceae,Juncus articulatus L.,ssp. articulata,Wetland,4,,,,,
Juncaceae,Juncus balticus Willd.,ssp. ater,Shoreline,19,,,,,
Juncaceae,Juncus bolanderi Engelm.,,Shoreline,1,,,,,
Juncaceae,Juncus breweri Engelm.,,Shoreline,2,,,,,
Juncaceae,Juncus bufonius L.,var. bufonius,Shoreline,23,,,,,
Juncaceae,Juncus effusus L.,"ssp. pacificus, ssp. effusus",Shoreline,13,,,,,
Juncaceae,Juncus ensifolius Wikstr.,,Wetland,7,,,,,
Juncaceae,Juncus gerardi Loisel.,ssp. gerardi,Shoreline,3,,,,,
Juncaceae,Juncus hesperius (Piper) Lint,,Wetland,8,,,,,
Juncaceae,Juncus occidentalis (Coville) Wiegand,,Wetland,2,,,,,
Juncaceae,Juncus tenuis Willd.,,Wetland,3,,,,,
Juncaceae,Luzula comosa E. Mey.,var. laxa,Open,24,,,,,
Juncaceae,Luzula macrantha (S. Watson) Zika & B.L. Wilson,,Open,10,,,,,
Juncaceae,Luzula multiflora (Ehrh.) Lej.,,Open,2,,,,,
Juncaceae,Luzula parviflora (Ehrh.) Desv.,,Forest,2,,,,,
Juncaceae,Luzula subsessilis (S. Watson) Buchenau,,Open,58,,,,,
Juncaginaceae,Triglochin concinna J.B. Davy,,Wetland,1,,,,,
Juncaginaceae,Triglochin maritima L.,,Wetland,10,,,,,
Lamiaceae,Ajuga reptans L.*,,Forest,4,,,,,
Lamiaceae,Clinopodium douglasii (Benth.) Kuntze,,Forest,34,,,,,
Lamiaceae,Glechoma hederacea L.*,,Forest,2,,,,,
Lamiaceae,Lamiastrum galeobdolon (L.) Ehrend. & Polatschek*,ssp. argentatum,Forest,3,,,,,
Lamiaceae,Lamium amplexicaule L.*,,Open,5,,,,,
Lamiaceae,Lamium hybridum Vill.*,,Open,1,,,,,
Lamiaceae,Lamium purpureum L.*,,Open,14,,,,,
Lamiaceae,Lycopus americanus Muhl. ex W.P.C. Bartr.,,Wetland,1,,,,,
Lamiaceae,Lycopus europaeus L.*,,Wetland,2,,,,,
Lamiaceae,Lycopus uniflorus Michx.,,Wetland,5,,,,,
Lamiaceae,Marrubium vulgare L.*,,Open,7,,,,,
Lamiaceae,Melissa officinalis L.*,,Open,1,,,,,
Lamiaceae,Mentha canadensis L.,,Wetland,5,,,,,
Lamiaceae,Mentha piperita L.*,,Open,1,,,,,
Lamiaceae,Mentha pulegium L.*,,Open,1,,,,,
Lamiaceae,Mentha rotundifolia (L.) Huds.*,,Open,1,,,,,
Lamiaceae,Nepeta cataria L.*,,Open,2,,,,,
Lamiaceae,Prunella vulgaris L.,"var. lanceolata, var. vulgaris",Open,11,,,,,
Lamiaceae,Satureja douglasii (Benth.) Kuntze,,Forest,36,,,,,
Lamiaceae,Scutellaria galericulata L.,,Wetland,2,,,,,
Lamiaceae,Stachys cooleyae A. Heller,,Forest,5,,,,,
Lamiaceae,Stachys mexicana Benth.,,Forest,1,,,,,
Lamiaceae,Thymus pulegioides L.*,,Open,1,,,,,
Lentibulariaceae,Utricularia gibba L.,,Wetland,1,,,,,
Lentibulariaceae,Utricularia minor L.,,Wetland,1,,,,,
Lentibulariaceae,Utricularia vulgaris L.,ssp. macrohiza,Wetland,4,,,,,
Liliaceae,Erythronium oregonum Applegate,ssp. oregonum,Forest,32,,,,,
Liliaceae,Fritillaria affinis (Schult. & Schult. f.) Sealy,,Open,86,,,,,
Liliaceae,Lilium columbianum Leichtlin,,Forest,19,,,,,
Liliaceae,Prosartes hookeri Torr.,,Forest,1,,,,,
Liliaceae,Tulipa sp. L.*,,Open,1,,,,,
Linnaeaceae,Linnaea borealis L.,ssp. longiflora,Forest,9,,,,,
Lycopodiaceae,Lycopodium clavatum L.,,Wetland,2,,,,,
Lythraceae,Lythrum salicaria L.*,,Wetland,4,,,,,
Malvaceae,Alcea rosea L.*,,Open,1,,,,,
Malvaceae,Malva neglecta Wallr.*,,Open,1,,,,,
Malvaceae,Malva sylvestris L.*,,Open,1,,,,,
Malvaceae,Sidalcea hendersonii S. Watson,,Shoreline,2,,,,,
Melanthiaceae,Toxicoscordion venenosum (S. Watson) Rydb.,var. venenosum,Open,61,,,,,
Menyanthaceae,Menyanthes trifoliata L.,,Wetland,2,,,,,
Montiaceae,Calandrinia ciliata (Ruiz & Pav.) DC.,,Shoreline,27,,,,,
Montiaceae,Claytonia exigua Douglas ex Torr. & A. Gray,"ssp. exigua, ssp. glauca",Shoreline,30,,,,,
Montiaceae,Claytonia parviflora Douglas ex Hook.,,Open,21,,,,,
Montiaceae,Claytonia perfoliata Donn ex Willd.,,Forest,91,,,,,
Montiaceae,Claytonia rubra (Howell) Tidestr.,,Shoreline,75,,,,,
Montiaceae,Claytonia sibirica L.,,Forest,7,,,,,
Montiaceae,Montia dichotoma (Nutt.) Howell,,Open,2,,,,,
Montiaceae,Montia fontana L.,,Shoreline,16,,,,,
Montiaceae,Montia howellii S. Watson,,Shoreline,2,,,,,
Montiaceae,Montia linearis (Douglas) Greene,,Open,6,,,,,
Montiaceae,Montia parvifolia (Moc. ex DC.) Greene,,Open,21,,,,,
Nyctaginaceae,Abronia latifolia Eschsch.,,Shoreline,3,,,,,
Nymphaeaceae,Nuphar polysepala Engelm.,,Wetland,6,,,,,
Nymphaeaceae,Nymphaea odorata Aiton*,,Wetland,2,,,,,
Okay - possible,Solanum americanum Mill.,,Open,1,,,,,
Oleaceae,Ligustrum vulgare L.*,,Forest,1,,,,,
Onagraceae,Camissonia contorta (Douglas) Kearney,,Open,1,,,,,
Onagraceae,Chamaenerion angustifolium (L.) Scop.,,Open,26,,,,,
Onagraceae,Circaea alpina L.,ssp. pacifica,Forest,6,,,,,
Onagraceae,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr.,,Open,11,,,,,
Onagraceae,Clarkia gracilis (Piper) A. Nelson & J.F. Macbr.,ssp. gracilis,Open,2,,,,,
Onagraceae,Epilobium anagallidifolium Lam.,,Forest,1,,,,,
Onagraceae,Epilobium brachycarpum C. Presl,,Open,14,,,,,
Onagraceae,Epilobium ciliatum Raf.,,Open,27,,,,,
Onagraceae,Epilobium densiflorum (Lindl.) Hoch & P.H. Raven,,Wetland,2,,,,,
Onagraceae,Epilobium glandulosum Lehm.,,Open,2,,,,,
Onagraceae,Epilobium hirsutum L.*,,Open,2,,,,,
Onagraceae,Epilobium lactiflorum Hausskn.,,Open,1,,,,,
Onagraceae,Epilobium leptophyllum Raf.,,Wetland,2,,,,,
Onagraceae,Epilobium minutum Lindl.,,Open,28,,,,,
Onagraceae,Epilobium palustre L.,,Wetland,1,,,,,
Onagraceae,Epilobium torreyi (S. Watson) Hoch & P.H. Raven,,Wetland,1,,,,,
Onagraceae,Ludwigia palustris (L.) Elliott,,Wetland,3,,,,,
Onagraceae,Oenothera glazioviana Micheli*,,Open,1,,,,,
Ophioglossaceae,Botrypus virginianus (L.) Michx.,,Forest,1,,,,,
Ophioglossaceae,Ophioglossum pusillum Raf.,,Forest,1,,,,,
Ophioglossaceae,Sceptridium multifidum (Gmel.) Tagawa,,Forest,6,,,,,
Orchidaceae,Calypso bulbosa (L.) Oakes,var. occidentalis,Forest,19,,,,,
Orchidaceae,Cephalanthera austiniae (A. Gray) A. Heller,,Forest,3,,,,,
Orchidaceae,Corallorhiza maculata (Raf.) Raf.,"var. maculata, var. occidentalis",Forest,21,,,,,
Orchidaceae,Corallorhiza mertensiana Bong.,,Forest,3,,,,,
Orchidaceae,Corallorhiza striata Lindl.,var. striata,Forest,4,,,,,
Orchidaceae,Epipactis helleborine (L.) Crantz*,,Forest,12,,,,,
Orchidaceae,Goodyera oblongifolia Raf.,,Forest,29,,,,,
Orchidaceae,Neottia banksiana (Lind.) Rchb. f.,,Forest,2,,,,,
Orchidaceae,Neottia convallarioides (Sw.) Richardson,,Forest,1,,,,,
Orchidaceae,Neottia cordata (L.) Richardson*,,Forest,7,,,,,
Orchidaceae,Platanthera dilatata (Pursh) Lindl. ex L.C. Beck,"var. albiflora, var. leucostachys",Forest,3,,,,,
Orchidaceae,Platanthera elegans Lindl.,ssp. elegans,Open,43,,,,,
Orchidaceae,Platanthera elongata (Rydb.) R.M. Bateman,,Forest,4,,,,,
Orchidaceae,Platanthera orbiculata (Pursh) Lindl.,,Forest,2,,,,,
Orchidaceae,Platanthera stricta Lindl.,,Forest,1,,,,,
Orchidaceae,Platanthera transversa (Suksd.) R.M. Bateman,,Forest,6,,,,,
Orchidaceae,Platanthera unalascensis (Spreng.) Kurtz,,Forest,10,,,,,
Orchidaceae,Spiranthes romanzoffiana Cham.,,Open,8,,,,,
Orobanchaceae,Aphyllon californicum (Cham. & Schltdl.) A. Gray,ssp. californicum,Open,33,,,,,
Orobanchaceae,Aphyllon purpureum (A. Heller) Holub,,Open,29,,,,,
Orobanchaceae,Bellardia viscosa (L.) Fisch. & C.A. Mey.*,,Open,3,,,,,
Orobanchaceae,Castilleja attenuata (A. Gray) T.I. Chuang & Heckard,,Open,10,,,,,
Orobanchaceae,Castilleja hispida Benth.,var. hispida,Open,47,,,,,
Orobanchaceae,Castilleja levisecta Greenm.,,Open,2,,,,,
Orobanchaceae,Castilleja victoriae Fairbarns & J.M. Egger,,Open,1,,,,,
Orobanchaceae,Euphrasia nemorosa (Pers.) Wallr.*,,Open,3,,,,,
Orobanchaceae,Kopsiopsis hookeri (Walp.) Govaerts,,Forest,2,,,,,
Orobanchaceae,Orthocarpus bracteosus Benth.,,Open,1,,,,,
Orobanchaceae,Rhinanthus minor L.,,Open,1,,,,,
Orobanchaceae,Triphysaria pusilla (Benth.) T.I. Chuang & Heckard,,Open,35,,,,,
Oxalidaceae,Oxalis corniculata L.*,,Open,1,,,,,
Papaveraceae,Corydalis lutea (L.) DC.*,,Forest,1,,,,,
Papaveraceae,Dicentra formosa (Haw.) Walp.,ssp. formosa,Forest,2,,,,,
Papaveraceae,Eschscholzia californica Cham.*,ssp. californica,Open,9,,,,,
Papaveraceae,Fumaria officinalis L.*,,Open,1,,,,,
