iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported
Abietinaria,55322,Abietinaria spp.,,78,"{""imerss.org:PMLS:236"":null,""imerss.org:PMLS:290"":null,""imerss.org:PMLS:378"":null,""imerss.org:PMLS:624"":null,""imerss.org:PMLS:780"":null,""imerss.org:PMLS:858"":null,""imerss.org:PMLS:1013"":null,""imerss.org:PMLS:1219"":null,""imerss.org:PMLS:1383"":null,""imerss.org:PMLS:1473"":null,""imerss.org:PMLS:1572"":null,""imerss.org:PMLS:1670"":null,""imerss.org:PMLS:1841"":null,""imerss.org:PMLS:1996"":null,""imerss.org:PMLS:2086"":null,""imerss.org:PMLS:2190"":null,""imerss.org:PMLS:2390"":null,""imerss.org:PMLS:2489"":null,""imerss.org:PMLS:2570"":null,""imerss.org:PMLS:2662"":null,""imerss.org:PMLS:2870"":null,""imerss.org:PMLS:3013"":null,""imerss.org:PMLS:3114"":null,""imerss.org:PMLS:3196"":null,""imerss.org:PMLS:3398"":null,""imerss.org:PMLS:3530"":null,""imerss.org:PMLS:3997"":null,""imerss.org:PMLS:4220"":null,""imerss.org:PMLS:4420"":null,""imerss.org:PMLS:4510"":null,""imerss.org:PMLS:4725"":null,""imerss.org:PMLS:5294"":null,""imerss.org:PMLS:5374"":null,""imerss.org:PMLS:5653"":null,""imerss.org:PMLS:5852"":null,""imerss.org:PMLS:6743"":null,""imerss.org:PMLS:6856"":null,""imerss.org:PMLS:7280"":null,""imerss.org:PMLS:7822"":null,""imerss.org:PMLS:7913"":null,""imerss.org:PMLS:8011"":null,""imerss.org:PMLS:8118"":null,""imerss.org:PMLS:8574"":null,""imerss.org:PMLS:8663"":null,""imerss.org:PMLS:8845"":null,""imerss.org:PMLS:9082"":null,""imerss.org:PMLS:9529"":null,""imerss.org:PMLS:9637"":null,""imerss.org:PMLS:10553"":null,""imerss.org:PMLS:10968"":null,""imerss.org:PMLS:11419"":null,""imerss.org:PMLS:11612"":null,""imerss.org:PMLS:11809"":null,""imerss.org:PMLS:11904"":null,""imerss.org:PMLS:12445"":null,""imerss.org:PMLS:12630"":null,""imerss.org:PMLS:12711"":null,""imerss.org:PMLS:12828"":null,""imerss.org:PMLS:13154"":null,""imerss.org:PMLS:13284"":null,""imerss.org:PMLS:13396"":null,""imerss.org:PMLS:13564"":null,""imerss.org:PMLS:14179"":null,""imerss.org:PMLS:14367"":null,""imerss.org:PMLS:14638"":null,""imerss.org:PMLS:14740"":null,""imerss.org:PMLS:14841"":null,""imerss.org:PMLS:15159"":null,""imerss.org:PMLS:15255"":null,""imerss.org:PMLS:15799"":null,""imerss.org:PMLS:16044"":null,""imerss.org:PMLS:16587"":null,""imerss.org:PMLS:16905"":null,""imerss.org:PMLS:17283"":null,""imerss.org:PMLS:17477"":null,""imerss.org:PMLS:17585"":null,""imerss.org:PMLS:17706"":null,""imerss.org:PMLS:17823"":null}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Abietinaria,,Andy Lamb,,,,imerss.org:PMLS:236,1981-05-31T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:17823,2017-03-18T00:00:00.000Z
Aequorea victoria,325995,Aequorea victoria s.lat.,,17,"{""imerss.org:iNat:7648048"":null,""imerss.org:iNat:6391046"":null,""imerss.org:iNat:6570913"":null,""imerss.org:iNat:7647290"":null,""imerss.org:iNat:12970659"":null,""imerss.org:iNat:24714763"":null,""imerss.org:iNat:45326890"":null,""imerss.org:iNat:57225189"":null,""imerss.org:iNat:69845921"":null,""imerss.org:iNat:74605863"":null,""imerss.org:iNat:80006205"":null,""imerss.org:iNat:82260700"":null,""imerss.org:iNat:82346030"":null,""imerss.org:iNat:84398159"":null,""imerss.org:iNat:84493486"":null,""imerss.org:iNat:128747908"":null,""imerss.org:iNat:129488318"":null}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Aequoreidae,,,Aequorea,victoria,Karolle Wall,,,,imerss.org:iNat:7648048,2017-05-26T00:00:00.000Z,Dave Zeuss Cochrane,,,,imerss.org:iNat:129488318,2022-08-04T00:00:00.000Z
Aglaophenia,51218,Aglaophenia spp.,,29,"{""imerss.org:PMLS:100"":null,""imerss.org:PMLS:289"":null,""imerss.org:PMLS:377"":null,""imerss.org:PMLS:476"":null,""imerss.org:PMLS:623"":null,""imerss.org:PMLS:702"":null,""imerss.org:PMLS:781"":null,""imerss.org:PMLS:857"":null,""imerss.org:PMLS:1220"":null,""imerss.org:PMLS:1382"":null,""imerss.org:PMLS:2744"":null,""imerss.org:PMLS:2869"":null,""imerss.org:PMLS:3195"":null,""imerss.org:PMLS:3904"":null,""imerss.org:PMLS:5755"":null,""imerss.org:PMLS:5983"":null,""imerss.org:PMLS:6080"":null,""imerss.org:PMLS:6484"":null,""imerss.org:PMLS:6742"":null,""imerss.org:PMLS:7515"":null,""imerss.org:PMLS:7821"":null,""imerss.org:PMLS:8844"":null,""imerss.org:PMLS:10181"":null,""imerss.org:PMLS:10814"":null,""imerss.org:PMLS:10967"":null,""imerss.org:PMLS:13283"":null,""imerss.org:PMLS:15158"":null,""imerss.org:PMLS:15466"":null,""imerss.org:PMLS:17282"":null}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Plumularioidea,Aglaopheniidae,,,Aglaophenia,,Andy Lamb,,,,imerss.org:PMLS:100,1971-08-21T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:17282,2016-03-27T00:00:00.000Z
Alcyonium,338004,Alcyonium sp.,,98,"{""imerss.org:PMLS:474"":null,""imerss.org:PMLS:784"":null,""imerss.org:PMLS:855"":null,""imerss.org:PMLS:1224"":null,""imerss.org:PMLS:1380"":null,""imerss.org:PMLS:1570"":null,""imerss.org:PMLS:2193"":null,""imerss.org:PMLS:3116"":null,""imerss.org:PMLS:3396"":null,""imerss.org:PMLS:3527"":null,""imerss.org:PMLS:3668"":null,""imerss.org:PMLS:3781"":null,""imerss.org:PMLS:4219"":null,""imerss.org:PMLS:4336"":null,""imerss.org:PMLS:4616"":null,""imerss.org:PMLS:4723"":null,""imerss.org:PMLS:4851"":null,""imerss.org:PMLS:4953"":null,""imerss.org:PMLS:5048"":null,""imerss.org:PMLS:5182"":null,""imerss.org:PMLS:5651"":null,""imerss.org:PMLS:5752"":null,""imerss.org:PMLS:5850"":null,""imerss.org:PMLS:6200"":null,""imerss.org:PMLS:6296"":null,""imerss.org:PMLS:6389"":null,""imerss.org:PMLS:6564"":null,""imerss.org:PMLS:6978"":null,""imerss.org:PMLS:7119"":null,""imerss.org:PMLS:7277"":null,""imerss.org:PMLS:7397"":null,""imerss.org:PMLS:7514"":null,""imerss.org:PMLS:7609"":null,""imerss.org:PMLS:7721"":null,""imerss.org:PMLS:7912"":null,""imerss.org:PMLS:8115"":null,""imerss.org:PMLS:8211"":null,""imerss.org:PMLS:8292"":null,""imerss.org:PMLS:8479"":null,""imerss.org:PMLS:8661"":null,""imerss.org:PMLS:9177"":null,""imerss.org:PMLS:9326"":null,""imerss.org:PMLS:9527"":null,""imerss.org:PMLS:9635"":null,""imerss.org:PMLS:9759"":null,""imerss.org:PMLS:9877"":null,""imerss.org:PMLS:9982"":null,""imerss.org:PMLS:10091"":null,""imerss.org:PMLS:10414"":null,""imerss.org:PMLS:10550"":null,""imerss.org:PMLS:10675"":null,""imerss.org:PMLS:10811"":null,""imerss.org:PMLS:10964"":null,""imerss.org:PMLS:11107"":null,""imerss.org:PMLS:11191"":null,""imerss.org:PMLS:11281"":null,""imerss.org:PMLS:11417"":null,""imerss.org:PMLS:11514"":null,""imerss.org:PMLS:11610"":null,""imerss.org:PMLS:11714"":null,""imerss.org:PMLS:11806"":null,""imerss.org:PMLS:12098"":null,""imerss.org:PMLS:12197"":null,""imerss.org:PMLS:12288"":null,""imerss.org:PMLS:12524"":null,""imerss.org:PMLS:12627"":null,""imerss.org:PMLS:12708"":null,""imerss.org:PMLS:12825"":null,""imerss.org:PMLS:12952"":null,""imerss.org:PMLS:13049"":null,""imerss.org:PMLS:13152"":null,""imerss.org:PMLS:13281"":null,""imerss.org:PMLS:13481"":null,""imerss.org:PMLS:13561"":null,""imerss.org:PMLS:13661"":null,""imerss.org:PMLS:13782"":null,""imerss.org:PMLS:13864"":null,""imerss.org:PMLS:14364"":null,""imerss.org:PMLS:14544"":null,""imerss.org:PMLS:14637"":null,""imerss.org:PMLS:14738"":null,""imerss.org:PMLS:14838"":null,""imerss.org:PMLS:14953"":null,""imerss.org:PMLS:15048"":null,""imerss.org:PMLS:15578"":null,""imerss.org:PMLS:15696"":null,""imerss.org:PMLS:15798"":null,""imerss.org:PMLS:15914"":null,""imerss.org:PMLS:16043"":null,""imerss.org:PMLS:16584"":null,""imerss.org:PMLS:16902"":null,""imerss.org:iNat:2763485"":null,""imerss.org:PMLS:17052"":null,""imerss.org:PMLS:17103"":null,""imerss.org:PMLS:17280"":null,""imerss.org:PMLS:17476"":null,""imerss.org:PMLS:17583"":null,""imerss.org:PMLS:17968"":null}",Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Malacalcyonacea,,,,Alcyoniidae,,,Alcyonium,,Andy Lamb,,,,imerss.org:PMLS:474,1985-12-07T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:17968,2017-06-30T00:00:00.000Z
Amphisbetia greenei,1353331,Amphisbetia greenei,"(Murray, 1860)",6,"{""imerss.org:PMLS:99"":null,""imerss.org:PMLS:383"":null,""imerss.org:PMLS:2874"":null,""imerss.org:PMLS:6746"":null,""imerss.org:PMLS:8847"":null,""imerss.org:PMLS:8925"":null}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Amphisbetia,greenei,Andy Lamb,,,,imerss.org:PMLS:99,1971-08-21T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:8925,2008-11-13T00:00:00.000Z
Anthopleura artemisia,51658,Anthopleura artemisia,"(Pickering in Dana, 1846)",43,"{""imerss.org:PMLS:2668"":null,""imerss.org:PMLS:4719"":null,""imerss.org:iNat:97205560"":null,""imerss.org:iNat:2976378"":null,""imerss.org:iNat:2976540"":null,""imerss.org:iNat:3325207"":null,""imerss.org:PMLS:16313"":null,""imerss.org:iNat:3706036"":null,""imerss.org:PMLS:17003"":null,""imerss.org:iNat:3910091"":null,""imerss.org:iNat:7648113"":null,""imerss.org:iNat:10279823"":null,""imerss.org:iNat:15702551"":null,""imerss.org:iNat:24237919"":null,""imerss.org:iNat:24518546"":null,""imerss.org:iNat:24631571"":null,""imerss.org:iNat:24689042"":null,""imerss.org:iNat:24713902"":null,""imerss.org:iNat:24714310"":null,""imerss.org:iNat:24714367"":null,""imerss.org:iNat:26064868"":null,""imerss.org:iNat:24697883"":null,""imerss.org:iNat:24771925"":null,""imerss.org:iNat:24870089"":null,""imerss.org:iNat:24915244"":null,""imerss.org:iNat:24941638"":null,""imerss.org:iNat:26683726"":null,""imerss.org:iNat:38737601"":null,""imerss.org:iNat:44950135"":null,""imerss.org:iNat:57301354"":null,""imerss.org:iNat:57789768"":null,""imerss.org:iNat:63401517"":null,""imerss.org:iNat:68195081"":null,""imerss.org:iNat:70072470"":null,""imerss.org:iNat:70798961"":null,""imerss.org:iNat:72245213"":null,""imerss.org:iNat:72245216"":null,""imerss.org:iNat:76342966"":null,""imerss.org:iNat:103178038"":null,""imerss.org:iNat:107703455"":null,""imerss.org:iNat:107704724"":null,""imerss.org:iNat:114358492"":null,""imerss.org:iNat:116239555"":null}",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Anthopleura,artemisia,Charlie Gibbs,,,,imerss.org:PMLS:2668,1996-09-29T00:00:00.000Z,Clare Kilgour,,,,imerss.org:iNat:116239555,2022-05-07T00:00:00.000Z
Anthopleura elegantissima,52564,Anthopleura elegantissima,"(Brandt, 1835)",54,"{""imerss.org:PMLS:472"":null,""imerss.org:PMLS:1009"":null,""imerss.org:PMLS:2785"":null,""imerss.org:PMLS:3192"":null,""imerss.org:PMLS:6561"":null,""imerss.org:PMLS:6975"":null,""imerss.org:PMLS:9755"":null,""imerss.org:PMLS:13657"":null,""imerss.org:PMLS:15154"":null,""imerss.org:iNat:3328198"":null,""imerss.org:iNat:2599298"":null,""imerss.org:iNat:2580645"":null,""imerss.org:iNat:3734802"":null,""imerss.org:PMLS:17276"":null,""imerss.org:iNat:3706035"":null,""imerss.org:iNat:4021633"":null,""imerss.org:iNat:4021634"":null,""imerss.org:iNat:6309359"":null,""imerss.org:iNat:7659297"":null,""imerss.org:iNat:21351413"":null,""imerss.org:iNat:21351431"":null,""imerss.org:iNat:24352848"":null,""imerss.org:iNat:24352860"":null,""imerss.org:iNat:24768184"":null,""imerss.org:iNat:24711797"":null,""imerss.org:iNat:43555559"":null,""imerss.org:iNat:44481410"":null,""imerss.org:iNat:47178343"":null,""imerss.org:iNat:63401513"":null,""imerss.org:iNat:71173036"":null,""imerss.org:iNat:77993508"":null,""imerss.org:iNat:83994121"":null,""imerss.org:iNat:83994390"":null,""imerss.org:iNat:84010440"":null,""imerss.org:iNat:84498458"":null,""imerss.org:iNat:84499477"":null,""imerss.org:iNat:84597952"":null,""imerss.org:iNat:84819120"":null,""imerss.org:iNat:86788011"":null,""imerss.org:iNat:89818408"":null,""imerss.org:iNat:91782163"":null,""imerss.org:iNat:92278426"":null,""imerss.org:iNat:101350849"":null,""imerss.org:iNat:102568770"":null,""imerss.org:iNat:102592136"":null,""imerss.org:iNat:105986649"":null,""imerss.org:iNat:106714624"":null,""imerss.org:iNat:107676332"":null,""imerss.org:iNat:107678563"":null,""imerss.org:iNat:111023655"":null,""imerss.org:iNat:120232149"":null,""imerss.org:iNat:124076147"":null,""imerss.org:iNat:132723829"":null,""imerss.org:iNat:137665814"":null}",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Anthopleura,elegantissima,Andy Lamb,,,,imerss.org:PMLS:472,1985-12-07T00:00:00.000Z,Paul Grieve,,,,imerss.org:iNat:137665814,2022-10-04T00:00:00.000Z
Aurelia labiata,130235,Aurelia labiata,"Chamisso & Eysenhardt, 1821",45,"{""imerss.org:PMLS:2490"":null,""imerss.org:PMLS:2664"":null,""imerss.org:PMLS:3016"":null,""imerss.org:PMLS:3312"":null,""imerss.org:PMLS:3402"":null,""imerss.org:PMLS:3786"":null,""imerss.org:PMLS:3999"":null,""imerss.org:PMLS:4112"":null,""imerss.org:PMLS:4511"":null,""imerss.org:PMLS:4728"":null,""imerss.org:PMLS:4854"":null,""imerss.org:PMLS:5049"":null,""imerss.org:PMLS:5188"":null,""imerss.org:PMLS:7827"":null,""imerss.org:PMLS:8016"":null,""imerss.org:PMLS:8218"":null,""imerss.org:PMLS:8298"":null,""imerss.org:PMLS:8386"":null,""imerss.org:PMLS:8481"":null,""imerss.org:PMLS:10560"":null,""imerss.org:PMLS:12101"":null,""imerss.org:PMLS:12448"":null,""imerss.org:PMLS:13482"":null,""imerss.org:PMLS:13568"":null,""imerss.org:PMLS:13669"":null,""imerss.org:PMLS:13788"":null,""imerss.org:PMLS:15803"":null,""imerss.org:PMLS:16227"":null,""imerss.org:PMLS:16397"":null,""imerss.org:iNat:3706338"":null,""imerss.org:iNat:3664554"":null,""imerss.org:PMLS:17482"":null,""imerss.org:iNat:7647283"":null,""imerss.org:PMLS:17972"":null,""imerss.org:iNat:7581730"":null,""imerss.org:PMLS:18137"":null,""imerss.org:iNat:14623292"":null,""imerss.org:iNat:26605367"":null,""imerss.org:iNat:69181290"":null,""imerss.org:iNat:82260706"":null,""imerss.org:iNat:96543069"":null,""imerss.org:iNat:92325161"":null,""imerss.org:iNat:100653657"":null,""imerss.org:iNat:103178057"":null,""imerss.org:iNat:124667634"":null}",Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,,Ulmaridae,Aureliinae,,Aurelia,labiata,Charlie Gibbs,,,,imerss.org:PMLS:2490,1996-09-28T00:00:00.000Z,,,,,imerss.org:iNat:124667634,2022-06-30T00:00:00.000Z
