taxonName,originalName
BOLD:AAD7355,BOLD:AAD7355
BOLD:ACE8406,BOLD:ACE8406
BOLD:AAF1239,BOLD:AAF1239
BOLD:AAA9165,BOLD:AAA9165
BOLD:AAF2573,BOLD:AAF2573
BOLD:AAF2673,BOLD:AAF2673
BOLD:ABZ5727,BOLD:ABZ5727
BOLD:ACA9380,BOLD:ACA9380
,
BOLD:AAD3817,BOLD:AAD3817
BOLD:AAD8303,BOLD:AAD8303
BOLD:AAA3325,BOLD:AAA3325
Microtus pennsylvanicus funebris,Microtus pennsylvanicus funebris
Sorex vagrans vancouverensis,Sorex vagrans vancouverensis
Peromyscus maniculatus hollisteri,Peromyscus maniculatus hollisteri
Tamiasciurus hudsonicus vancouverensis,Tamiasciurus hudsonicus vancouverensis
Castor canadensis leucodontus,Castor canadensis leucodontus
Peromyscus maniculatus angustus,Peromyscus maniculatus angustus
Microtus townsendii tetramerus,Microtus townsendii tetramerus
Myotis yumanensis saturatus,Myotis yumanensis saturatus
Peromyscus maniculatus georgiensis,Peromyscus maniculatus georgiensis
Sorex monticola setosus,Sorex monticola setosus
Microtus townsendii cummingi,Microtus townsendii cummingi
Sorex monticola mixtus,Sorex monticola mixtus
Sorex monticola isolatus,Sorex monticola isolatus
Myotis volans longicrus,Myotis volans longicrus
Peromyscus maniculatus oreas,Peromyscus maniculatus oreas
Phenacomys intermedius intermedius,Phenacomys intermedius intermedius
Peromyscus maniculatus saturatus,Peromyscus maniculatus saturatus
Tamiasciurus douglasii cascadensis,Tamiasciurus douglasii cascadensis
Lontra canadensis vancouverensis,Lontra canadensis vancouverensis
Sorex palustris navigator,Sorex palustris navigator
Myotis lucifugus alascensis,Myotis lucifugus alascensis
Peromyscus maniculatus austerus,Peromyscus maniculatus austerus
Tamias amoenus felix,Tamias amoenus felix
Ochotona princeps brunnescens,Ochotona princeps brunnescens
Microtus longicaudus macrurus,Microtus longicaudus macrurus
Martes americana vancouverensis,Martes americana vancouverensis
Neurotrichus gibbsii minor,Neurotrichus gibbsii minor
Sorex trowbridgii trowbridgii,Sorex trowbridgii trowbridgii
Microtus townsendii townsendii,Microtus townsendii townsendii
Tamias amoenus ludibundus,Tamias amoenus ludibundus
Neovison vison evagor,Neovison vison evagor
Glaucomys sabrinus fuliginosus,Glaucomys sabrinus fuliginosus
Peromyscus maniculatus isolatus,Peromyscus maniculatus isolatus
Peromyscus maniculatus rubriventor,Peromyscus maniculatus rubriventor
Peromyscus keeni oreas,Peromyscus keeni oreas
Tamias townsendii townsendii,Tamias townsendii townsendii
"Peromyscus maniculatus saturatus Bangs, 1897","Peromyscus maniculatus saturatus Bangs, 1897"
Eutamias amoenus felix,Eutamias amoenus felix
"Sorex monticolus obscurus Merriam, 1891","Sorex monticolus obscurus Merriam, 1891"
Peromyscus maniculatus artemisiae,Peromyscus maniculatus artemisiae
Eutamias townsendii townsendii,Eutamias townsendii townsendii
Microtus townsendi,Microtus townsendi
"Mustela vison energumenos (Bangs, 1896)","Mustela vison energumenos (Bangs, 1896)"
Neotoma cinera occidentalis,Neotoma cinera occidentalis
Microtus serpens,Microtus serpens
Microtus richardsoni arvicoloides,Microtus richardsoni arvicoloides
Lepus washingtoni,Lepus washingtoni
Lutra canadensis canadensis,Lutra canadensis canadensis
Castor canadensis leucodonta,Castor canadensis leucodonta
"Sorex bendirii bendirii (Merriam, 1884)","Sorex bendirii bendirii (Merriam, 1884)"
Sciuropterus,Sciuropterus
Spilogale putorius latifrons,Spilogale putorius latifrons
"Sorex vagrans vancouverensis Merriam, 1895","Sorex vagrans vancouverensis Merriam, 1895"
Lepus pictus,Lepus pictus
"Aplodontia rufa grisea Taylor, 1914","Aplodontia rufa grisea Taylor, 1914"
"Thamnophis ordinoides (Baird and Girard, 1852)","Thamnophis ordinoides (Baird and Girard, 1852)"
Tamias (Neotamias) amoenus felix,Tamias (Neotamias) amoenus felix
RODENTIA,RODENTIA
Thamnophis sirtalis pickeringi,Thamnophis sirtalis pickeringi
Cetacean sp.,Cetacean sp.
Orcinus orca ecotype-resident,Orcinus orca ecotype-resident
Orcinus orca ecotype-biggs,Orcinus orca ecotype-biggs
Thamnophis spec.,Thamnophis spec.
Pinnipedia indet.,Pinnipedia indet.
THAMNOPHIS ORDINOIDES,THAMNOPHIS ORDINOIDES
THAMNOPHIS SIRTALIS,THAMNOPHIS SIRTALIS
THAMNOPHIS ELEGANS,THAMNOPHIS ELEGANS
PSEUDACRIS REGILLA,PSEUDACRIS REGILLA
RANA AURORA,RANA AURORA
Peromyscus maniculatus borealis,Peromyscus maniculatus borealis
Peromyscus keeni keeni,Peromyscus keeni keeni
Eumetopias jubata (Schreber 1776),Eumetopias jubata (Schreber 1776)
RANIDAE,RANIDAE
LAGOMORPHA,LAGOMORPHA
CARNIVORA,CARNIVORA
Scapanus orarius schefferi,Scapanus orarius schefferi
"Thamnophis ordinoides (Baird & Girard, 1852)","Thamnophis ordinoides (Baird & Girard, 1852)"
Myotis alascensis,Myotis alascensis
Sorex monticolus obscurus,Sorex monticolus obscurus
Peromyscus maniculatus prevostensis,Peromyscus maniculatus prevostensis
PEROMYSCUS MANICULATUS ANGUSTUS,PEROMYSCUS MANICULATUS ANGUSTUS
Phoca vitulina richardi,Phoca vitulina richardi
Neotoma cinerea drummondii,Neotoma cinerea drummondii
Tamias amoenus affinis,Tamias amoenus affinis
Ochotona princeps cuppes,Ochotona princeps cuppes
Peromyscus keeni interdictus,Peromyscus keeni interdictus
Sorex bendirii bendirii,Sorex bendirii bendirii
Thamnophis thamnophis,Thamnophis thamnophis
Thamnophis ordinoides ordinoides,Thamnophis ordinoides ordinoides
Macroclemys temmincki,Macroclemys temmincki
Triturus torosus,Triturus torosus
Scapanus orarius orarius,Scapanus orarius orarius
Sorex vagrans obscurus,Sorex vagrans obscurus
Sorex navigator navigator,Sorex navigator navigator
Microtus oregoni serpens,Microtus oregoni serpens
Mustela vison energumenos,Mustela vison energumenos
Peromyscus keeni carli,Peromyscus keeni carli
Myodes gapperi cascadensis,Myodes gapperi cascadensis
Myodes gapperi caurinus,Myodes gapperi caurinus
Phenacomys intermedius oramontis,Phenacomys intermedius oramontis
Peromyscus keeni triangularis/carli,Peromyscus keeni triangularis/carli
Microtus pennsylvanicus drummondii,Microtus pennsylvanicus drummondii
Procyon lotor pacifica,Procyon lotor pacifica
Synaptomys borealis wrangeli,Synaptomys borealis wrangeli
Marmota monax canadensis,Marmota monax canadensis
Rattus rattus alexandrinus,Rattus rattus alexandrinus
Vulpes vulpes canadensis,Vulpes vulpes canadensis
Rattus rattus alexandrium,Rattus rattus alexandrium
SOREX VAGRANS VAGRANS,SOREX VAGRANS VAGRANS
NEUROTRICHUS GIBBSII MINOR,NEUROTRICHUS GIBBSII MINOR
MICROTUS TOWNSENDII TOWNSENDII,MICROTUS TOWNSENDII TOWNSENDII
MICROTUS OREGONI OREGONI,MICROTUS OREGONI OREGONI
PEROMYSCUS MANICULATUS HOLLISTERI,PEROMYSCUS MANICULATUS HOLLISTERI
SOREX VAGRANS SETOSUS,SOREX VAGRANS SETOSUS
"Canis lupis Linnaeus, 1758","Canis lupis Linnaeus, 1758"
"Pseudacris regilla (Baird and Girard, 1852)","Pseudacris regilla (Baird and Girard, 1852)"
"Contia tenuis (Baird and Girard, 1852)","Contia tenuis (Baird and Girard, 1852)"
"Thamnophis elegans (Baird and Girard, 1853)","Thamnophis elegans (Baird and Girard, 1853)"
"Anaxyrus boreas (Baird and Girard, 1852)","Anaxyrus boreas (Baird and Girard, 1852)"
Taricha granulosa granulosus,Taricha granulosa granulosus
Ambystoma gracile mormon,Ambystoma gracile mormon
Thamnophis sirtalis trilineata,Thamnophis sirtalis trilineata
Sceloporus clarki/magister,Sceloporus clarki/magister
