Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Forficula auricularia,Linnaeus,common earwig,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Dermaptera,Forficulina,,Forficulidae,Forficulinae,,,reported,unobserved,1987-08-05,Geoffrey G.E. Scudder,SEM,SEM-UBC DER-0161,,,,,,,ART
Bibio vestitus,Walker,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Bibionoidea,Bibionidae,,,,reported,unobserved,1979-04-16,Syd G. Cannings,SEM,SEM-UBC DIP-0098,,,,,,,ART
Kleidocerys resedae resedae,(Panzer),birch catkin bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Lygaeidae,,,,reported,unobserved,1987-08-05,Geoffrey G.E. Scudder,SEM,SEM-UBC LYG-0006,,,,,,,ART
Eurygaster alternata,(Say),jewel bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Scutelleridae,,,,reported,unobserved,1987-08-05,Geoffrey G.E. Scudder,SEM,SEM-UBC HET-4892,,,,,,,ART
Vespula consobrina,(de Saussure),black-jacket,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,native,S5? (2017),reported,unobserved,1989-06-30,J. McTaggart-Cowan,SEM,SEM-UBC HYM-0603,,,,,,,ART
Hemerobius pacificus,Banks,Pacific brown lacewing,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Neuroptera,Hemerobiiformia,Hemerobioidea,Hemerobiidae,,unlisted,SNR,reported,unobserved,1987-08-05,E. Scudder,SEM,SEM-UBC NEU-1249,,,,,,,ART
Porichthys notatus,,plainfin midshipman,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Batrachoidiformes,,,Batrachoididae,,,,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.11,,,,,,,FIS
Gadus macrocephalus,"Tilesius, 1810",Pacific cod,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Gadidae,,native,SNR,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.2,,,,,,,FIS
Merluccius productus,"Girard, 1856",North Pacific hake,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Merlucciidae,,native,SNR,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.3,,,,,,,FIS
Lepidogobius lepidus,"Girard, 1858",bay goby,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiiformes,,,Oxudercidae,,native,SNR,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.14,,,,,,,FIS
Lumpenus sagitta,,snake prickleback,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Lumpeninae,,,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.12,,,,,,,FIS
Lycodes pacificus,"Collett, 1879",blackbelly eelpout,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Zoarcidae,Lycodinae,native,SNR,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.13,,,,,,,FIS
Citharichthys sordidus,"(Girard, 1854)",Pacific sanddab,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Paralichthyidae,,,,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.4,,,,,,,FIS
Hippoglossoides elassodon,"Jordan & Gilbert, 1880",flathead sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Hippoglossoidinae,native,SNR,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.5,,,,,,,FIS
Isopsetta isolepis,"(Lockington, 1880)",butter sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,native,SNR,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.6,,,,,,,FIS
Lyopsetta exilis,,slender sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.7,,,,,,,FIS
Microstomus pacificus,"(Lockington, 1879)",Pacific dover sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,native,SNR,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.8,,,,,,,FIS
Parophrys vetulus,,English sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.9,,,,,,,FIS
Chitonotus pugetensis,,roughback sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.10,,,,,,,FIS
Pseudacris regilla,,northern Pacific treefrog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hylidae,Acridinae,,,reported,unobserved,2016-04-09,MICS,Edith Point Ecological Baseline Report,,,,,,,,HER
Rana aurora,,northern red-legged frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,native,S3 (2016),reported,unobserved,2016-04-09,MICS,Edith Point Ecological Baseline Report,,,,,,,,HER
Ambystoma macrodactylum,,long-toed salamander,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,,reported,unobserved,2016-04-09,MICS,Edith Point Ecological Baseline Report,,,,,,,,HER
Taricha granulosa,,rough-skinned newt,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Salamandridae,Pleurodelinae,,,reported,unobserved,2016-04-09,MICS,Edith Point Ecological Baseline Report,,,,,,,,HER
Accipiter cooperii,"Bonaparte, 1828",Cooper's hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,native,S5 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Accipiter gentilis atricapillus,"Linnaeus, 1758",northern goshawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,native,"S4B,S4N (2015)",reported,unobserved,1927-01-15,Allan C. Brooks Jr.,MVZ,99659,,,,,,,BIR
Accipiter striatus,"Vieillot, 1808",sharp-shinned hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,native,"S5B,S5N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Aquila chrysaetos,"Linnaeus, 1758",golden eagle,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,native,S4S5 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Buteo jamaicensis,"(Gmelin, 1788)",red-tailed hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,native,S5 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Buteo lagopus,"(Pontoppidan, 1763)",rough-legged hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,native,S3N (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Circus hudsonius,"(Linnaeus, 1766)",northern harrier,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,native,S4B (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Haliaeetus leucocephalus washingtoniensis,"(Linnaeus, 1766)",bald eagle,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,native,"S5B,S5N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Cathartes aura,"(Linnaeus, 1758)",turkey vulture,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Cathartidae,,native,S4 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Pandion haliaetus,"(Linnaeus, 1758)",osprey,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Pandionidae,,native,S5 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Aix sponsa,"(Linnaeus, 1758)",wood duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,"S4B,S4N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Anas acuta,"Linnaeus, 1758",northern pintail,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,"S4B,S5N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Anas carolinensis,"Gmelin, 1789",green-winged teal,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,"S5B,S5N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Anas platyrhynchos,"Linnaeus, 1758",mallard,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,"S5B,S5N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Aythya collaris,"(Donovan, 1809)",ring-necked duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,"S5B,S5N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Aythya marila,"(Linnaeus, 1761)",greater scaup,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S4N (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Branta bernicla nigricans,"(Lawrence, 1846)",black brant,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S3M (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Branta canadensis,"(Linnaeus, 1758)",Canada goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S5 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Bucephala albeola,"(Linnaeus, 1758)",bufflehead,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,"S5B, SNRN (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Bucephala clangula,"(Linnaeus, 1758)",common goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S5 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Bucephala islandica,"(Gmelin, 1789)",barrow's goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S4S5 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Chen caerulescens,"(Linnaeus, 1758)",snow goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S4M (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Clangula hyemalis,"(Linnaeus, 1758)",long-tailed duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,"S2S3B,S4N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Cygnus buccinator,"Richardson, 1832",trumpeter swan,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,"S4B,S5N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Histrionicus histrionicus,"(Linnaeus, 1758)",harlequin duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,"S4B,S3N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Lophodytes cucullatus,"(Linnaeus, 1758)",hooded merganser,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S5 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Mareca americana,"(Gmelin, 1789)",American wigeon,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,"S5B,S5N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Mareca penelope,"(Linnaeus, 1758)",Eurasian wigeon,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,SNRN (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Melanitta americana,"(Swainson, 1832)",black scoter,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S3S4N (2015),reported,unobserved,1927-02-12,Allan C. Brooks Jr.,MVZ,99567,,,,,,,BIR
Melanitta deglandi,"(Bonaparte, 1850)",white-winged scoter,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S4S5 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Melanitta perspicillata,"(Linnaeus, 1758)",surf scoter,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,"S3B,S4N (2015)",reported,unobserved,1927-02-12,Allan C. Brooks Jr.,MVZ,99588,,,,,,,BIR
Mergus merganser,"Linnaeus, 1758",common merganser,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S5 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Mergus serrator,"Linnaeus, 1758",red-breasted merganser,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S4B (2015),reported,unobserved,1927-02-26,Allan C. Brooks Jr.,MVZ,104712,,,,,,,BIR
Somateria spectabilis,"(Linnaeus, 1758)",king eider,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,accidental,SNA,reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Spatula cyanoptera,"(Vieillot, 1816)",cinnamon teal,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,native,S4B (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Chaetura vauxi,"(Townsend, 1839)",Vaux’s swift,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,Apodidae,,native,S5B (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Cypseloides niger,"(Gmelin, 1789)",black swift,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,Apodidae,,native,S2S3B (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Calypte anna,"(Lesson, 1829)",Anna's hummingbird,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,Trochilidae,,native,S4S5 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Selasphorus rufus,"(Gmelin, 1788)",rufous hummingbird,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,Trochilidae,,native,S4S5B (2015),reported,unobserved,1974-07-24,J.N. Kemp,UBCBBM,B013945,,,,,,,BIR
Chordeiles minor,"(J.R. Foster, 1771)",common nighthawk,Animalia,Chordata,Vertebrata,,Aves,,,Caprimulgiformes,,,Caprimulgidae,,native,S4B (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Brachyramphus marmoratus,"(Gmelin, 1789)",marbled murrelet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,native,"S3B,S3N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Cepphus columba,"Pallas, 1811",pigeon guillemot,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,native,S4 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Cerorhinca monocerata,"Pallas, 1811",rhinoceros auklet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,native,S4 (2016),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Synthliboramphus antiquus,"(Gmelin, 1789)",ancient murrelet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,native,"S2S3B,S4N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Uria aalge,"(Pontoppidan, 1763)",common murre,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,native,"S2B,S3S4N (2015)",reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Charadrius vociferus,"Linnaeus, 1758",killdeer,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,native,S4S5B (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Haematopus bachmani,"Audubon, 1838",black oystercatcher,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Haematopodidae,,native,S4 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Chroicocephalus philadelphia,"(Ord, 1815)",Bonaparte's gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,native,S5? (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Hydroprogne caspia,"(Pallas, 1770)",Caspian tern,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Sterninae,native,S3B (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
Larus argentatus,"Pontoppidan, 1763",herring gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,native,S4 (2015),reported,unobserved,2018-11-01,Michael Dunn,Birds of Mayne Island,,,,,,,,BIR
