CatalogueNumber,ItemName,ScientificName,Phylum,Class,Order,Family,Genus,Species,Subspecies,TaxonCode,Synonyms,Identifier,IDDate,CDC,Quantity,SpecimenNature,Collector,CollectionDate,FieldEventCode,DepthBelowSurface_Min,DepthBelowSurface_Max,DepthBelowSurface_Unit,Eco_GenHabitat,Terrestrial_Aquatic,HabitatGrossCover,HabitatRemarks,Substrate,Vegetation,Country,Prov_State,LocationName,LocationDescription,LocationRemarks,Latitude,Longitude,Approximate,UTMZone,UTMNorthing,UTMEasting,Elevation,Continent,District,WaterBody,MuseumCollection,CurrentLocation,SpecimenType,SpecimenNotes,ContainerType,Preservative,Fixative,Prefixative,PreparationNotes,PreparatorNotes,RegistrationNo,TSRNo,Cataloguer,CatalogueDate,LastModifiedBy,LastModifiedDate,Restriction
979-03311,Patinopecten caurinus,Patinopecten caurinus,Mollusca,Bivalvia,Ostreoida,Pectinidae,Patinopecten,caurinus,,,,,,,2,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03312,Yoldia thraciaeformis,Yoldia thraciaeformis,Mollusca,Bivalvia,Nuculoida,Yoldiidae,Yoldia,thraciaeformis,,32-2-1-2,,,,,,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,Heidi Gartner,10/25/2019 10:59:30 AM,
979-03313,Thracia trapezoides,Thracia trapezoides,Mollusca,Bivalvia,Pholadomyoida,Thraciidae,Thracia,trapezoides,,32-4-3-3,,,,,2,Dry, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT-DRY.36.4,,,,,,,Dry specimen at 036.04,,,,,2004-04-08,,,
979-03315,Axinopsida serricata,Axinopsida serricata,Mollusca,Bivalvia,Veneroida,Thyasiridae,Axinopsida,serricata,,32-4-1-19,,,,,29,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03316,Nuculana leonina,Nuculana leonina,Mollusca,Bivalvia,Nuculoida,Nuculanidae,Nuculana,leonina,,32-2-1-7,,,,,1,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,Jar,,,,,,,,,2004-04-08,,,
979-03317-001,Musculus niger,Musculus niger,Mollusca,Bivalvia,Mytiloida,Mytilidae,Musculus,niger,,32-3-2-1," Modiolaria niger J. E. Gray, 1824",,,,8,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03319,Yoldia thraciaeformis,Yoldia thraciaeformis,Mollusca,Bivalvia,Nuculoida,Yoldiidae,Yoldia,thraciaeformis,,32-2-1-2,,,,,1,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03320,Cylichnella culcitella,Cylichnella culcitella,Mollusca,Gastropoda,Cephalaspidea,Acteocinidae,Cylichnella,culcitella,,30-2-2-4(a),,,,,2,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03321,Cylichna attonsa,Cylichna attonsa,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Cylichna,attonsa,,30-2-2-5,,,,,9,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03322,Rictaxis punctocaelatus,Rictaxis punctocaelatus,Mollusca,Gastropoda,Heterostropha,Acteonidae,Rictaxis,punctocaelatus,,30-2-2-4,,,,,1,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03323-001,Melanella micans,Melanella micans,Mollusca,Gastropoda,Mesogastropoda,Eulimidae,Melanella,micans,,30-1-26(a),, Melissa Frey,2010-02-18,,3,Dry, Ian McTaggart-Cowan,1961-06-22,,,20.0000,fms,,marine,,,mud,,Canada,British Columbia,Porlier Pass,station 630,,49.0166666666667,-123.583333333333,False,,,,,North America,,Strait of Georgia,Cowan,T.00.018.INVT-DRY.12.2,,prev. ID Eulima micans,Box,,,,,,,,,,,,
979-03324,Velutina plicatilis,Velutina plicatilis,Mollusca,Gastropoda,Mesogastropoda,Velutinidae,Velutina,plicatilis,,30-1-35(a),,,,,1,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03325,Trophonopsis orpheus,Trophonopsis orpheus,Mollusca,Gastropoda,Neogastropoda,Muricidae,Trophonopsis,orpheus,,30-1-48, Boreotrophon orpheus; Ocenebra orpheus; Trophon orpheus,,,,5,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03326,Ophiodermella fancherae,Ophiodermella fancherae,Mollusca,Gastropoda,Neogastropoda,Turridae,Ophiodermella,fancherae,,30-1-63,,,,,1,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03327,Cadulus hepburni,Cadulus hepburni,Mollusca,Scaphopoda,Gadilida,Gadilidae,Cadulus,hepburni,,31-1,,,,,2,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03328,Mitrella gausapta,Mitrella gausapta,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,gausapta,,30-1-50,,,,,1,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03331,Nucella lamellosa,Nucella lamellosa,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,lamellosa,,30-1-48,,,,,4,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
979-03332,Chlamys rubida,Chlamys rubida,Mollusca,Bivalvia,Ostreoida,Pectinidae,Chlamys,rubida,,32-3-2-6," Chlamys hindsi Carpenter, 1864",,,,,Wet, Ian McTaggart-Cowan,1961-06-22,,51.2100,51.2100,m,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,,,,,,2004-04-08,Heidi Gartner,10/23/2019 3:52:18 PM,
981-00064-001,Neoesperiopsis rigida,Neoesperiopsis rigida,Porifera,Demospongiae,Poecilosclerida,Isodictyidae,Neoesperiopsis,rigida,,3-3-2-2," Esperiopsis rigida (Lambe, 1893); Isodictya rigida Lambe, 1893", William Austin,,,2,Wet, W. Clemens,1960-12-22,51,,44.0000,fms,,marine,,,,,Canada,British Columbia,Galiano Island,north end of Island,,49.0066666666667,-123.575,False,,,,,North America,Gulf Islands,Strait of Georgia,Clemens,T.00.018.INVT-BIN.42,,previously in two jars,,Isopropanol - 60%,,,,,,,,2004-04-08,,,
982-00207-001,Hyas lyratus,Hyas lyratus,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,lyratus,,25-6-11-12h,,,,,2,Wet, Dan Quayle,1961-05-13,FRB 61-644; S-4 H-144,,48.0000,m,,marine,,,sand; mud; shell,,Canada,British Columbia,Trincomali Channel,between Saltspring and Galiano Island,,48.8666666666667,-123.391666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,Bernard,T.00.018.INVT-BIN.667a,,,Jar,Isopropanol - 60%,,,,,,,,2004-04-08,Heidi Gartner,4/9/2019 3:01:17 PM,
982-00207-002,Acila castrensis,Acila castrensis,Mollusca,Bivalvia,Nuculoida,Nuculidae,Acila,castrensis,,32-2-1-1,,,,,4,Wet, Dan Quayle,1961-05-13,FRB 61-644; S-4 H-144,,48.0000,m,,marine,,,sand; mud; shell,,Canada,British Columbia,Trincomali Channel,between Saltspring and Galiano Island,,48.8666666666667,-123.391666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,Bernard,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
982-00207-003,Chlamys rubida,Chlamys rubida,Mollusca,Bivalvia,Ostreoida,Pectinidae,Chlamys,rubida,,32-3-2-6," Chlamys hindsi Carpenter, 1864",,,,3,Dry, Dan Quayle,1961-05-13,FRB 61-644; S-4 H-144,,48.0000,m,,marine,,,sand; mud; shell,,Canada,British Columbia,Trincomali Channel,between Saltspring and Galiano Island,,48.8666666666667,-123.391666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,Bernard,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
983-00026-001,Cuthona pustulata,Cuthona pustulata,Mollusca,Gastropoda,Nudibranchia,Cuthonidae,Cuthona,pustulata,,30-2-9-4(d),,,,,7,Wet, Sandra Millen-Crane; Sandra,1982-05-21,,14.0000,18.0000,m,,marine,,,on Halecium,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
984-00851,,,,,,,,,,,,,,,,, Geoffrey Scudder,1975-04-20,S-105,,,,,freshwater,,,,,Canada,British Columbia,Galiano Island; Spanish Hills,pond,"S-105, S-106",,,False,,,,,North America,Gulf Islands,,,T.00.018.INVT,,,,,,,,,R0775.1,6874,Moretta Frederick,2012-01-27,,,
984-00852,,,,,,,,,,,,,,,,, Geoffrey Scudder,1975-04-16,S-106,,,,,freshwater,,,,,Canada,British Columbia,Galiano Island; Spanish Hills,pond,"S-105, S-106",,,False,,,,,North America,Gulf Islands,,,T.00.018.INVT,,,,,,,,,R0775.1,6874,Moretta Frederick,2012-01-27,,,
985-00143-001,Fabia subquadrata,Fabia subquadrata,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Fabia,subquadrata,,25-6-11-13c,, Josephine Hart,,,1,Wet, Josephine Hart,1934-09-06,,11.0000,12.0000,fms,,marine,,,,,Canada,British Columbia,Galiano Island; Montague Harbour,entrance to harbour,,48.8833333333333,-123.4,False,,,,,North America,Gulf Islands,Strait of Georgia,Hart,T.00.018.INVT-BIN.676,,male,Vial,Isopropanol - 60%,,,,,,,,2004-04-08,Heidi Gartner,8/16/2019 9:57:52 AM,
986-00191-001,,,Cnidaria,Hydrozoa,,,,,,4-1, Leptolida,,,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,,,
986-00191-002,Balanus nubilus,Balanus nubilus,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,nubilus,,25-5-1,, Melissa Frey,2009-07-26,,40,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.413,,some in jar and some in vats,,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,,,
986-00191-003,Glebocarcinus oregonensis,Glebocarcinus oregonensis,Arthropoda,Malacostraca,Decapoda,Cancridae,Glebocarcinus,oregonensis,,25-6-11-12b, Cancer oregonensis, Gordon Green,1986-04-01,,7,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.653b,,,Jar,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,Heidi Gartner,8/7/2018 11:50:08 AM,
986-00191-004,Pugettia gracilis,Pugettia gracilis,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,gracilis,,25-6-11-12e,, Gordon Green,1986-11-01,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.660d,,,Vial,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,Heidi Gartner,1/28/2019 3:23:09 PM,
986-00191-005,Pagurus beringanus,Pagurus beringanus,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,beringanus,,25-6-11-5(c),, Patsy McLaughlin,1994-09-01,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.615b,,,Vial,Isopropanol - 60%,Formalin - 10%,,,,,,,2004-04-08,Heidi Gartner,12/12/2016 4:47:47 PM,
986-00191-006,Ceratostoma foliatum,Ceratostoma foliatum,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ceratostoma,foliatum,,30-1-48,,,,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
986-00191-008,Calliostoma ligatum,Calliostoma ligatum,Mollusca,Gastropoda,Archaeogastropoda,Calliostomatidae,Calliostoma,ligatum,,30-1-7, Calliostoma costatum,,,,,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,Isopropanol - 60%,,,,,,,,2004-04-08,Heidi Gartner,5/10/2019 2:47:11 PM,
986-00191-009,Scyra acutifrons,Scyra acutifrons,Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra,acutifrons,,25-6-11-12e,,,,,,,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,Heidi Gartner,3/15/2019 1:00:51 PM,
986-00191-010,Serpula columbiana,Serpula columbiana,Annelida,Polychaeta,Canalipalpata,Serpulidae,Serpula,columbiana,,17-69,,,,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,BC,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.332,,,Vial,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,,,
986-00191-011,Thais,Thais,Mollusca,Gastropoda,Neogastropoda,Muricidae,Thais,,,30-1-48,,,,,,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
986-00191-012,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,purpuratus,,40-1-5-4,,,,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-VAT.26,,,,Isopropanol - 60%,,,,,,,,2004-04-08,,,
986-00191-013,Strongylocentrotus pallidus,Strongylocentrotus pallidus,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,pallidus,,40-1-5-4," Strongylocentrotus echinoides A. Agassiz and H. L. Clark, 1907; Strongylocentrotus sachalinicus Clark, 1912", Philip Lambert,2019-10-18,,3,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.1162b,,,Jar,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,Heidi Gartner,10/21/2019 12:08:14 PM,
986-00191-015,Amphissa columbiana,Amphissa columbiana,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,columbiana,,30-1-50,,,,,2,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
986-00191-016,Pododesmus macrochisma,Pododesmus macrochisma,Mollusca,Bivalvia,Ostreoida,Anomiidae,Pododesmus,macrochisma,,32-3-2-10," Pododesmus cepio (J. E. Gray, 1850); Pododesmus macroschisma (Deshayes, 1839)",,,,3,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.968b,,,,,,,,,,,,2004-04-08,,,
