Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Punctelia stictica,(Duby) Krog,blue-shift speckleback,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S4 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,117879,
Ramalina farinacea,(L.) Ach.,farinose cartilage lichen/hyphenated ribbon,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43414,benkeen,https://www.inaturalist.org/observations/18315455,,54758
Sphaerophorus tuckermanii,Räsänen,tuckerman's coral lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Sphaerophoraceae,,native,S4S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43289,iamscientistsam,https://www.inaturalist.org/observations/14191270,,123231
Stereocaulon alpinum,Laurer ex Funck,alpine foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,231686,
Stereocaulon intermedium,(Savicz) H. Magn.,pacific brain foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,231701,
Stereocaulon spathuliferum,Vain.,chalk foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,native,S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,179816,
Stereocaulon tomentosum,Fr.,eyed foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,179804,
Tuckermanopsis chlorophylla,(Willd.) Hale,silver-lined wrinkle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,1019557,
Tuckermanopsis orbata,(Nyl.) M.J. Lai,shape-shifting wrinkle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,813868,
Tuckermanopsis platyphylla,(Tuck.) Gyeln,broad wrinkle lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43914.723587962966,gwenlh,https://www.inaturalist.org/observations/40855241,,1019558
Tuckermanopsis subalpina,Imshaug,huckleberry icelandmoss,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,1019562,
Usnea dasopoga,Stirton,herringbone beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,532452,
Usnea glabrescens,(Nyl. ex Vain.) Vain.,spotted beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S4 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,233313,
Usnea hirta,(L.) Weber ex F.H. Wigg. ,Bristly Beard Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S4 (2019),new 2020,documented,,,,,,43957,judithofsquamish,https://www.inaturalist.org/observations/45096020,,182679
Usnea longissima,Ach.,methuselah's beard lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43289,judithofsquamish,https://www.inaturalist.org/observations/14218963,,122681
Xanthoparmelia cumberlandia,(Gyelnik) Hale.,Cumberland Rock Shield,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,genus is in CDC records,new 2018,documented,,,,,,43441,benkeen,https://www.inaturalist.org/observations/18883904,,123230
Graphis scripta,(L.) Ach.,Common Script Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,,native,S5 (2020),new 2016,documented,,,,,,42661,judithofsquamish,https://www.inaturalist.org/observations/16646985,,117987
Thelotrema lepadinum,(Ach.) Ach. ,none found,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,,native,S5 (2020),new 2018,documented,,,,,,43382,judithofsquamish,https://www.inaturalist.org/observations/18013155,,129667
Lobaria anomala,Brodo & Ahti,powder-ridge specklebelly,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,463448,
Lobaria linita,(Ach.) Rabenh.,cabbage lung lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43291,judithofsquamish,https://www.inaturalist.org/observations/14331024,,224041
Lobaria oregana,(Tuck.) Müll.Arg.,Lettuce Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,native,S3S4 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44195,alyssa_laine,https://www.inaturalist.org/observations/67324477,,55538
Lobaria pulmonaria,(L.) Hoffm.,Tree Lungwort,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43065.561805555553,squamishobserver,https://www.inaturalist.org/observations/9001017,,48711
Massalongia carnosa,(Dickson) Körb.,moss liver,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Massalongiaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,224470,
Nephroma arcticum,(l.) torss.,greenlight,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Nephromataceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,225797,
Nephroma laevigatum,ach.,mustard paw,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Nephromataceae,,native,S4S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,117847,
Nephroma parile,(Ach.) Ach.,powdered paw,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Nephromataceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,182501,
Parmeliella triptophylla,(Ach.) Müll. Arg.,home-coming crisps,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,,native,S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,227227,
Peltigera aphthosa,(L.) Willd.,freckled pelt lichen/silver-edge pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43456,benkeen,https://www.inaturalist.org/observations/19156511,,119675
Peltigera britannica,Gyelnik) Holt.-Hartw. & Tonsb,flaky freckle pelt lichen/deciduous pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43540,benkeen,https://www.inaturalist.org/observations/21295188,,119677
Peltigera chionophila,Goward & Goffinet. ,snow pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,227384,
Peltigera collina,(Ach.) Schrader,tree pelt lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43471,benkeen,https://www.inaturalist.org/observations/19527596,,194736
Peltigera gowardii, Lendemer & H. O'Brien,northwest waterfan,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S2 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,227387,
Peltigera leucophlebia,(nyl.) gyelnik,ruffled pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,119676,
Peltigera membranacea,(Ach.) Nyl.,membranous pelt lichen/diamond pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43205.583564814813,gwenlh,https://www.inaturalist.org/observations/11070295,,117858
Peltigera neopolydactyla,(Gyelnik) Gyelnik.,carpet pelt lichen/undulating pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",41062,judithofsquamish,https://www.inaturalist.org/observations/32712473,,147374
Peltigera pacifica,vitik.,fringed pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,227392,
Peltigera polydactylon,(Necker) Hoffm. ,many-fruited pelt lichen/pioneer pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43199,derekkillby,https://www.inaturalist.org/observations/13802249,,69728
Peltigera ponojensis,gyelnik,pale-belled pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,227393,
Peltigera praetextata,(Flörke ex Sommerf.) Zopf,born-again pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,127051,
Peltigera rufescens,(Weiss) Humb.,black-bellied pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,180448,
Peltigera venosa,(l.) hoffm.,lesser toad pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,194812,
Psoroma hypnorum,(Vahl) Gray,moss tarts,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Pannariaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,229263,
Scytinium gelatinosum,(With.) J.R. Laundon,rose-petalled vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,526716,
Solorina crocea,(L.) Ach.,chocolate chip lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",41525,judithofsquamish,https://www.inaturalist.org/observations/6157588,,231135
Solorina saccata,(L.) ach.,woodland owl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,231137,
Solorina spongiosa,(Ach.) Anzi,blinking owl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,native,S4 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,209792,
Sticta limbata,(Sm.) Ach.,silver-lined moon,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,117888,
Vestergrenopsis isidiata,(Degel.) E. Dahl,blind olivette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Placynthiaceae,,,not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,0,
Rhizocarpon geographicum,(L.) DC.,yellow map lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,Rhizocarpaceae,,native,S5 (2020),new 2018,documented,,,,,,43346,rainerotte,https://www.inaturalist.org/observations/16183981,,119888
Polycauliona candelaria,(L.) Th. Fr.,shrublet sunburst,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,,,genus is in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,463825,
Polycauliona polycarpa,(Hoffm.) Rieber,pincushion sunburst lichen ,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,,,genus is in CDC records,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43534,benkeen,https://www.inaturalist.org/observations/21131781,,463837
Baeomyces rufus,(Hudson) Rebent. ,brown beret lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Baeomycetales,,,Baeomycetaceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44205.540081018517,gwenlh,https://www.inaturalist.org/observations/67830145,,180422
Icmadophila ericetorum,(L.) Zahlbr.,Candy Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Icmadophilaceae,,native,S5 (2020),new 2018,documented,,,,,,43141,adam_808,https://www.inaturalist.org/observations/13627874,,119695
Thamnolia vermicularis,(Sw.) Ach. ex Schaerer ,Whiteworm Lichen/universal whiteworm,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Icmadophilaceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44059,judithofsquamish,https://www.inaturalist.org/observations/56905460,,1040929
Umbilicaria angulata,Tuck.,starred rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,native,S4S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,182517,
Umbilicaria deusta,(L.) Baumg.,peppered rock tripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43834,rambryum,https://www.inaturalist.org/observations/37290167,,182503
Umbilicaria hyperborea,(Ach.) Hoffm.,blistered rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,125052,
Umbilicaria phaea,Tuck.,emery rocktripe lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43347,r_r_r_,https://www.inaturalist.org/observations/16514860,,125055
Umbilicaria polyphylla,(L.) Baumg.,petalled rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,125058,
Umbilicaria proboscidea,(L.) Schrad.,greater salted rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,233252,
Umbilicaria torrefacta, (G. Weber) Ach,perforated rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,233255,
Ascocoryne sarcoides,(Jacq.) J. W. Groves & D. E. Wilson ,purple jellydisc,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,Gelatinodiscaceae,,,SNR,new 2018,documented,,,,,,43408,citizen1,https://www.inaturalist.org/observations/18306585,,49075
Calycina citrina,(Hedw.) Gray,Yellow Fairy Cups,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,Pezizellaceae,,,genus is in CDC records,new 2018,documented,,,,,,43411,judithofsquamish,https://www.inaturalist.org/observations/19322182,,955949
Mitrula elegans,(Berk.) Fr. ,swamp beacon,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,Mitrulaceae,,,SNR,new 2019,documented,,,,,,43632,hydaticus,https://www.inaturalist.org/observations/27188985,,320702
Rhytisma punctatum,(Pers) Fr.,Speckled Tar Spot,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Rhytismatales,,,Rhytismataceae,,,SNR,new 2017,documented,,,,,,43055,judithofsquamish,https://www.inaturalist.org/observations/8870087,,333838
Orbilia sp.,Fr.,,Fungi,Ascomycota,Pezizomycotina,,Orbiliomycetes,,,Orbiliales,,,Orbiliaceae,,,genus is in CDC records,new 2020,documented,,,,,,44066,microbin,https://www.inaturalist.org/observations/57384579,,353030
Aleuria aurantia,(Pers.) Fuckel ,orange peel fungus,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Pyronemataceae,,,SNR,new 2017,documented,,,,,,43034,edefreit,https://www.inaturalist.org/observations/8603166,,48716
Caloscypha fulgens,(Pers.) Boud.,spring orange peel fungus,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Caloscyphaceae,,,SNR,new 2016,documented,,,,,,42505,rileypollom,http://inaturalist.ca/observations/3184574,,153035
Gyromitra infula,(Schaff.) Quélet ,Saddle-shaped False Morel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Discinaceae,,,SNR,new 2019,documented,,,,,,43701,genevievereynolds,https://www.inaturalist.org/observations/32119690,,117994
Helvella vespertina,Afzelius,Western Black Elfin Saddle,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Helvellaceae,,,SNR,new 2018,documented,,,,,,43406,judithofsquamish,https://www.inaturalist.org/observations/18036135,,423950
Morchella importuna,"M.Kuo, O'Donnell & T.J.Volk",Mel-10,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Morchellaceae,,,SNR,new 2019,documented,,,,,,43574,dmarmorek,https://www.inaturalist.org/observations/22734908,,487375
Plectania melastoma,(Sowerby ex Fr.) Fuckel ,corona cup,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Sarcosomataceae,,,SNR,new 2019,documented,,,,,,43701,genevievereynolds,https://www.inaturalist.org/observations/32119702,,344501
Scutellinia scutellata,(L.) Lambotte,Common Eyelash,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Pyronemataceae,,,SNR,new 2017,documented,,,,,,42883,ritaclare,https://www.inaturalist.org/observations/6417401,,49137
Verpa bohemica,(Krombh.) J. Schröt,wrinkled thimble morel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Morchellaceae,,,SNR,new 2018,documented,,,,,,43200,hillanddale,https://www.inaturalist.org/observations/10758820,,126131
Sarea resinae,(Fr.) Kuntze,Sarea Lichen,Fungi,Ascomycota,Pezizomycotina,,Sareomycetes,,,Sareales,,,Sareaceae,,,SU (2020),new 2020,documented,,,,,,44193.573472222219,gwenlh,https://www.inaturalist.org/observations/67228438,,230428
Hypomyces cervinigenus,Rogerson & Simms ,none,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,Hypocreaceae,,,SNR,new 2020,documented,,,,,,44165,benkeen,https://www.inaturalist.org/observations/65915540,,118004
Hypomyces lactifluorum,(Schwein.) Tul. & C. Tul,lobster mushroom,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,Hypocreaceae,,,SNR,new 2017,documented,,,,,,43015,rainwalker,https://www.inaturalist.org/observations/8301711,,48215
Nectria cinnabarina,(Tode) Fries,Coral Spot,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,Nectriaceae,,,SNR,new 2019,documented,,,,,,43569,benkeen,https://www.inaturalist.org/observations/22489965,,118012
Tolypocladium ophioglossoides,"(Ehrh. ex J.F. Gmel.) Quandt, Kepler & Spatafora",Snaketongue Truffleclub,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,Ophiocordycipitaceae,,,SNR,new 2020,documented,,,,,,44031,benkeen,https://www.inaturalist.org/observations/53663818,,499797
Kretzschmaria deusta,(Hoffm.) P.M.D. Martin,Brittle Cinder,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,Xylariaceae,,,SNR,new 2019,documented,,,,,,43555,benkeen,https://www.inaturalist.org/observations/21858631,,128051
Xylaria hypoxylon,(L.) Grev.,Candlesnuff Fungus,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,Xylariaceae,,,SNR,new 2018,documented,,,,,,43373,benkeen,https://www.inaturalist.org/observations/17086935,,55267
Xylaria polymorpha,(Pers.) Grev.,dead man's fingers,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,Xylariaceae,,,SNR,new 2019,documented,,,,,,43743,judithofsquamish,https://www.inaturalist.org/observations/33930970,,58698
Exidiopsis effusa,Bref.,Hair Ice,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Auriculariales,,,Auriculariaceae,,,genus is in CDC records,new 2018,documented,,,,,,43442,judithofsquamish,https://www.inaturalist.org/observations/18906571,,518289
