Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Guepinia helvelloides,(DC.) Fr. ,Apricot Jelly,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Auriculariales,,,,,,SNR,new 2019,documented,,,,,,43716,benkeen,https://www.inaturalist.org/observations/32380736,,348814
Myxarium nucleatum,Wallr.,Crystal Brain Fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Auriculariales,,,Hyaloriaceae,,,SNR,new 2019,documented,,,,,,43568,benkeen,https://www.inaturalist.org/observations/22451844,,742831
Pseudohydnum gelatinosum,(Scop.) P. Karst,toothed Jelly Fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Auriculariales,,,,,,SNR,new 2018,documented,,,,,,43460,benkeen,https://www.inaturalist.org/observations/19238685,,54164
Cantharellus formosus,Corner,Pacific Golden Chanterelle,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Cantharellaceae,,,SNR,new 2020,documented,,,,,,44101,nicolarammell,https://www.inaturalist.org/observations/61355440,,120443
Cantharellus subalbidus,,White Chanterelle,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Cantharellaceae,,native,S3 (2021),new 2021,documented,,,,,,44492,cfmurrell,https://www.inaturalist.org/observations/99159338,,54132
Clavulina coralloides,(L.) J. Schröt.,White Coral Fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Clavulinaceae,,,SNR,new 2018,documented,,,,,,43421,judithofsquamish,https://www.inaturalist.org/observations/18490605,,63260
Clavulina rugosa,(Bull.) J. Schröt.,wrinkled club fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Clavulinaceae,,,SNR,new 2020,documented,,,,,,44193,scottdwilson,https://www.inaturalist.org/observations/67222685,,81961
Craterellus tubaeformis,(F. ) L Quélet,Yellowfoot,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Cantharellaceae,,,SNR,new 2017,documented,,,,,,43041,rainwalker,https://www.inaturalist.org/observations/8657002,,350511
Multiclavula mucida,(Fr.) R. Petersen,White green-algae coral,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Clavulinaceae,,native,S3S4 (2020),new 2020,documented,,,,,,43839,haydn_smith,https://www.inaturalist.org/observations/37440649,,205261
Hydnum umbilicatum,Peck,depressed hedgehog,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Hydnaceae,,native,S5 (2021),new 2021,documented,,,,,,44506,amandawalks,https://www.inaturalist.org/observations/100446893, ,48421
Punctularia atropurpurascens,(Berk. & Broome) Petch,Violet Crust,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Corticiales,,,Corticiaceae,,,genus is in CDC records,new 2021,documented,,,,,,44500,roslynmohr,https://www.inaturalist.org/observations/100403031,    ,514081
Gloeophyllum sepiarium,(Wulfen) P. Karst,Conifer Mazegill,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Gloeophyllales,,,Gloeophyllaceae,,,SNR,new 2020,documented,,,,,,43862,benkeen,https://www.inaturalist.org/observations/38200041,,67338
Rickenella fibula,(Bull.) Raithelh. ,Orange Moss Agaric,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,Rickenellaceae,,,SNR,new 2018,documented,,,,,,43449,benkeen,https://www.inaturalist.org/observations/19035624,,118170
Trichaptum abietinum,(Dicks.) Ryvarden,Purplepore Bracket,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,Hymenochaetaceae,,,SNR,new 2019,documented,,,,,,43779,benkeen,https://www.inaturalist.org/observations/35563253,,118115
Trichaptum biforme,(Fr.) Ryvarden,violet-toothed polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,Hymenochaetaceae,,,SNR,new 2018,documented,,,,,,43409,judithofsquamish,https://www.inaturalist.org/observations/18172780,,125705
Cerrena unicolor,(Bull.) Murrill,Mossy Maze Polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Cerrenaceae,,,SNR,new 2018,documented,,,,,,43409,judithofsquamish,https://www.inaturalist.org/observations/18154869,,194476
Byssomerulius corium,(Pers.) Parmasto,netted crust,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Irpicaceae,,,SNR,new 2018,documented,,,,,,43442,judithofsquamish,https://www.inaturalist.org/observations/18906085,,118073
Cryptoporus volvatus,(Peck) Shea,Veiled Polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,SNR,new 2019,documented,,,,,,43548,benkeen,https://www.inaturalist.org/observations/21580686,,118051
Cyanosporus caesius,(Schrad.) McGinty,Blue Cheese Polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,not in CDC records,new 2020,documented,,,,,,44164,benkeen,https://www.inaturalist.org/observations/65849111,,959237
Fomes fomentarius,(L.) Fr.,Hoof Fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,SNR,new 2018,documented,,,,,,43413,judithofsquamish,https://www.inaturalist.org/observations/18296840,,127510
Fomitopsis betulina,"(Bull.) B.K.Cui, M.L.Han & Y.C.Dai",birch polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,SNR,new 2020,documented,,,,,,43999,cgbc,https://www.inaturalist.org/observations/49984460,,775410
Fomitopsis mounceae,Haight & Nakasone,Northern Red Belt,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,"needs updating, not in CDC records",new 2018,documented,,,,,,43366,joanseptembre,https://www.inaturalist.org/observations/16923271,,877361
Fomitopsis ochracea,Ryvarden & Stokland,none,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,SNR,new 2020,documented,,,,,,44000,lukelythgoe,https://www.inaturalist.org/observations/50162843,,495903
Ganoderma applanatum,(Pers.) Pat.,artist's bracket,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,SNR,new 2018,documented,,,,,,43352,benkeen,https://www.inaturalist.org/observations/16369722,,48473
Ganoderma brownii,(Murrill) Gilb.,none,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,SNR,new 2020,documented,,,,,,44079,chrisshier,https://www.inaturalist.org/observations/58994694,,348812
Ganoderma oregonense,Murrill,West Coast Reishi,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,SNR,new 2018,documented,,,,,,43408,judithofsquamish,https://www.inaturalist.org/observations/18133801,,118062
Gloeoporus dichrous,(Fr.) Bres.,bicoloured bracket,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Irpicaceae,,,SNR,new 2018,documented,,,,,,43416,judithofsquamish,https://www.inaturalist.org/observations/18771185,,202418
Irpex lacteus,(Fr.) Fr.,Milk-white Toothed Polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Irpicaceae,,,SNR,new 2019,documented,,,,,,43536,benkeen,https://www.inaturalist.org/observations/21194746,,130910
Laetiporus conifericola,Burds. & Banik,Conifer Chicken of the Woods,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Laetiporaceae,,,SNR,new 2017,documented,,,,,,42997,judithofsquamish,https://www.inaturalist.org/observations/8080549,,118057
Laricifomes officinalis,(Batsch) Kotl. & Pouzar ,Quinine Conk,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,SNR,new 2020,documented,,,,,,44000,ryan_durand,https://www.inaturalist.org/observations/50726080,,135216
Merulius tremellosus,Schrad.,Trembling Crust,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Meruliaceae,,,SNR,new 2018,documented,,,,,,43366,benkeen,https://www.inaturalist.org/observations/16852469,,179113
Phaeolus schweinitzii,(Fr.) Pat.,Dyer's Polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Laetiporaceae,,,SNR,new 2018,documented,,,,,,43368,benkeen,https://www.inaturalist.org/observations/16912558,,118084
Phlebia radiata,Fr.,Wrinkled Crust,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Meruliaceae,,,SNR,new 2018,documented,,,,,,43410,judithofsquamish,https://www.inaturalist.org/observations/18194657,,155122
Picipes badius (aka Royoporus badius),(Pers.) Zmitr. & Kovalenko,Bay Polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,SNR,new 1969,documented,,,,,,25568,beestie,https://www.inaturalist.org/observations/61192847,,510852
Pycnoporellus fulgens,(Fr.) Donk.,none found,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,SNR,new 2020,documented,,,,,,43877,cunderdown,https://www.inaturalist.org/observations/38744216,,367273
Rhodofomes cajanderi,"(P. Karst.) B.K. Cui, M.L. Han & Y.C. Dai",Rosy Conk,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,SNR,new 2019,documented,,,,,,43806,benkeen,https://www.inaturalist.org/observations/36446902,,764105
Sparassis radicata,Weir,Western cauliflower mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Sparassidaceae,,,add sp? genus is in CDC records,new 2017,documented,,,,,,43008,rainwalker,https://www.inaturalist.org/observations/8197209,,486226
Trametes cinnabarina,(Jacq.) Fr.,Northern Cinnabar Polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,native,S4 (2021),new 2021,documented,,,,,,44521,beestie,https://www.inaturalist.org/observations/101670472,,974663
Trametes gibbosa,(Pers.) Fr.,Lumpy Bracket,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,SNR,new 2020,documented,,,,,,43922,benkeen,https://www.inaturalist.org/observations/41213850,,410641
Trametes hirsuta,(Wulfen) Lloyd ,Hairy Bracket,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,SNR,new 2019,documented,,,,,,43829.583333333336,gwenlh,https://www.inaturalist.org/observations/38620099,,116695
Trametes ochracea,(Pers.) Gilb. & Ryvarden,ochre bracket,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,SNR,new 2020,documented,,,,,,43925,benkeen,https://www.inaturalist.org/observations/41411612,,118111
Trametes versicolor,(L.: Fries) Pilát ,turkey-tail,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,SNR,new 2017,documented,,,,,,42997,rainwalker,https://www.inaturalist.org/observations/8019808,,54134
Echinodontium tinctorium,(Ellis & Everh.) Ellis & Everh.,Indian paint fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Echinodontiaceae,,,SNR,new 2019,documented,,,,,,43529.662743055553,gwenlh,https://www.inaturalist.org/observations/21102289,,179721
Auriscalpium vulgare,Gray,earpick fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Auriscalpiaceae,,,SNR,new 2020,documented,,,,,,44187,benkeen,https://www.inaturalist.org/observations/66933180,,55175
Hericium abietis,(Weir ex Hubert) K.A. Harrison,Bear's head,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Hericiaceae,,,SNR,new 2019,documented,,,,,,43721,amygalina,https://www.inaturalist.org/observations/32668093,,55187
Hericium coralloides,(Scop.) Pers.,Coral tooth fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Hericiaceae,,,SNR,new 2019,documented,,,,,,43697,thrasherbird,https://www.inaturalist.org/observations/31436515,,49162
Hericium erinaceus,(Bull.) Persoon,lion's-mane mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Hericiaceae,,,SNR,new 2017,documented,,,,,,43018,rainwalker,https://www.inaturalist.org/observations/8352911,,49158
Lactarius kauffmanii,Hesler & A.H. Sm.,Kauffman's Milk Cap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,SNR,new 2020,documented,,,,,,44078,judithofsquamish,https://www.inaturalist.org/observations/58572761,,335923
Lactarius deliciosus,(L.ex Fr.) S.F.Gray,saffron milkcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,native,S4 (2021),new 2021,documented,,,,,,44501,willoughbyarevalo,https://www.inaturalist.org/observations/100050389,,155197
Lactarius rufus,(Fr.) Fr. ,Rufous Milkcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,SNR,new 2018,documented,,,,,,43428,judithofsquamish,https://www.inaturalist.org/observations/18741430,,118223
Russula brevipes,Peck,Short-stemmed Russula,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,SNR,new 2019,documented,,,,,,43756,derekkillby,https://www.inaturalist.org/observations/34659998,,118179
Russula cyanoxantha,(Schaeff.) Fr.,Charcoal Burner,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,SNR,new 2020,documented,,,,,,44081,kinjxl,https://www.inaturalist.org/observations/60146295,,194437
Russula nigricans,(Bull.) Fr. ,Blackening Brittlegill,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,native,S4 (2021),new 2021,documented,,,,,,44472,maybejuju,https://www.inaturalist.org/observations/97109679,,194414
Stereum hirsutum,(Willd.) Pers.,hairy curtain crust,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Stereaceae,,,SNR,new 2018,documented,,,,,,43366,benkeen,https://www.inaturalist.org/observations/16857773,,55501
Stereum ochraceoflavum,Schwein.) Ellis.,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Stereaceae,,,SNR,new 2018,documented,,,,,,43460,benkeen,https://www.inaturalist.org/observations/19238818,,118107
Stereum ostrea,(Blume & T. Nees) Fr.,false turkey-tail,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Stereaceae,,,SNR,new 2018,documented,,,,,,43354,benkeen,https://www.inaturalist.org/observations/16443836,,55496
Hydnellum aurantiacum,(Batsch) P. Karst,Orange Rough-cap Tooth,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Thelephorales,,,Bankeraceae,,,SNR,new 2020,documented,,,,,,44034,benkeen,https://www.inaturalist.org/observations/54020179,,118060
Hydnellum peckii,Banker,Red-juice Tooth,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Thelephorales,,,Bankeraceae,,,SNR,new 2019,documented,,,,,,43688,sea2skynaturebc,https://www.inaturalist.org/observations/30661910,,154949
Sarcodon imbricatus,(L.) P. Karst,shingled hedgehog,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Thelephorales,,,Bankeraceae,,,SNR,new 2018,documented,,,,,,43411,judithofsquamish,https://www.inaturalist.org/observations/18263101,,122335
Thelephora terrestris,Ehrh.: Fr. ,Common Fiber Vase,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Thelephorales,,,Thelephoraceae,,,SNR,new 2019,documented,,,,,,43744,citizen1,https://www.inaturalist.org/observations/34757730,,118102
Apioperdon pyriforme,(Schaeffer) Vizzini ,pear-shaped puffball,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Lycoperdaceae,,,not in CDC records,new 2015,documented,,,,,,42285,virginiacspencer,http://www.inaturalist.org/observations/4330349,,972793
Bolbitius titubans,(Bull.) Fr. ,yellow fieldcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Bolbitiaceae,,,SNR,new 2019,documented,,,,,,43632,pahill,https://www.inaturalist.org/observations/36875942,,55474
Calvatia booniana,A.H. Smith,western giant puffball,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Lycoperdaceae,,,not in CDC records,new 2020,documented,,,,,,44094,angiecoulter,https://www.inaturalist.org/observations/60198319,,69818
Chlorophyllum olivieri,(Barla) Vellinga,Olive Shaggy Parasol,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,SU (2021),new 2021,documented,,,,,,44473,cfmurrell,https://www.inaturalist.org/observations/97212170,,424530
Coprinellus micaceus,"(Bull.:Fr.) Vilgalys, Hopple & Jacq. Johnson",mica cap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Psathyrellaceae,,,SNR,new 2018,documented,,,,,,43421,judithofsquamish,https://www.inaturalist.org/observations/18491536,,56318
Coprinopsis atramentaria,(Bull.:Fr.) Redhead,Common Ink Cap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Psathyrellaceae,,,SNR,new 2017,documented,,,,,,43010,rainwalker,https://www.inaturalist.org/observations/8296005,,48521
Coprinopsis lagopus,"(Fr.) Redhead, Vilgalys & Moncalvo",hare's foot inkcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Psathyrellaceae,,,SNR,new 2018,documented,,,,,,43383,judithofsquamish,https://www.inaturalist.org/observations/18017948,,55605
Coprinus comatus,(O. F. Müller) Pers.,Shaggy Mane,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Coprinaceae,,,SNR,new 2018,documented,,,,,,43369,foleyniki,https://www.inaturalist.org/observations/16936746,,47392
Cortinarius cinnamomeus,(L.) Fr. ,cinnamon webcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Cortinariaceae,,,SNR,new 2019,documented,,,,,,43764.67759259259,gwenlh,https://www.inaturalist.org/observations/35015450,,155225
Cortinarius croceus,(Schaeff.) Gray,saffron webcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Cortinariaceae,,,SNR,new 2019,documented,,,,,,43756,eharrower,https://www.inaturalist.org/observations/34566859,,192638
Cortinarius vibratilis,(Fr.) Fr.,none,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Cortinariaceae,,,SNR,new 2019,documented,,,,,,43695,noracee,https://www.inaturalist.org/observations/31104899,,499760
Cortinarius violaceus,(L.) Gray,violet webcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Cortinariaceae,,,SNR,new 2018,documented,,,,,,43366,joanseptembre,https://www.inaturalist.org/observations/16923268,,124344
Crucibulum laeve,(Huds.) Kambly,common bird's nest fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Nidulariaceae,,,SNR,new 2018,documented,,,,,,43416,judithofsquamish,https://www.inaturalist.org/observations/18442999,,120030
Cyathus striatus,(Huds.) Willd.,fluted bird's nest fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Nidulariaceae,,,SNR,new 2019,documented,,,,,,43730,nicolarammell,https://www.inaturalist.org/observations/33294785,,120242
Cystoderma aureum,(Matt.) Kühner & Romagn,Golden Cap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Squamanitaceae,,,genus is in CDC records,new 2019,documented,,,,,,43767,laurenharrison,https://www.inaturalist.org/observations/35067708,,790781
Hypholoma capnoides,Fr.) P. Kumm,conifer tuft/smoky-gilled Hypholoma,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Strophariaceae,,,SNR,new 2018,documented,,,,,,43463,benkeen,https://www.inaturalist.org/observations/19297740,,64071
Hypholoma fasciculare,(Huds. Fr.) P. Kumm,Sulphur Tuft,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Strophariaceae,,,SNR,new 2018,documented,,,,,,43390,judithofsquamish,https://www.inaturalist.org/observations/17612303,,48767
Inosperma maximum,(Kühner) Matheny & Esteve-Rav.,Blueing Fishy Fiberhead,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Inocybaceae,,,not in CDC records,new 2020,documented,,,,,,43971.083333333336,mmund,https://www.inaturalist.org/observations/46676199,,1112501
Lacrymaria lacrymabunda,(Bull.: Fr.) Pat.,weeping widow,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Psathyrellaceae,,,SNR,new 2019,documented,,,,,,43732,snlliamtetzlaff,https://www.inaturalist.org/observations/33328324,,130934
Laccaria amethysteo-occidentalis,G.M. Muell.,Western Amethyst Laccaria,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Hydnangiaceae,,,SNR,new 2018,documented,,,,,,43419,judithofsquamish,https://www.inaturalist.org/observations/18414919,,54893
Laccaria laccata,(Scop.) Cooke,deceiver,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Hydnangiaceae,,,SNR,new 2020,documented,,,,,,44149,benkeen,https://www.inaturalist.org/observations/64890755,,63236
Lepiota atrodisca,Zeller ,Zeller black-eyed parasol,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Verrucosporaceae,,,SNR,new 2013,documented,,,,,,41556,derekkillby,https://www.inaturalist.org/observations/19220145,,347740
Leucoagaricus leucothites,(Vittad.) Wasser,White Dapperling,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,SNR,new 2019,documented,,,,,,43730,pswift57,https://www.inaturalist.org/observations/36211360,,179125
Lycoperdon perlatum,Pers.,common puffball,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Lycoperdaceae,,,SNR,new 2019,documented,,,,,,43709,black13,https://www.inaturalist.org/observations/32030617,,48443
Lycoperdon umbrinum,Per.,Umber-brown Puffball,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Lycoperdaceae,,,SNR,new 2019,documented,,,,,,43750,jamiehargreaves,https://www.inaturalist.org/observations/34360885,,118139
Nidula candida,(Peck) V.S. White ,jellied bird's nest fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Nidulariaceae,,,SNR,new 2018,documented,,,,,,43375,judithofsquamish,https://www.inaturalist.org/observations/17176575,,120036
Nidula niveotomentosa,(Henn.) Lloyd,woolly bird's nest fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Nidulariaceae,,,SNR,new 2018,documented,,,,,,43394,booboo,https://www.inaturalist.org/observations/17732255,,118138
Pholiota aurivella,(Batsch) P. Kumm.,Golden Pholiota,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Strophariaceae,,,SNR,new 2020,documented,,,,,,44101,cmac79,https://www.inaturalist.org/observations/61757559,,124705
Pholiota squarrosoides,(Peck) Sacc. ,sharp-scaly Pholiota,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Strophariaceae,,,SNR,new 2018,documented,,,,,,43429,judithofsquamish,https://www.inaturalist.org/observations/18635972,,157728
Psilocybe pelliculosa,(A.H. Sm.) Singer & A.H. Sm.,none found,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Hymenogastraceae,,,SNR,new 2020,documented,,,,,,44160,benkeen,https://www.inaturalist.org/observations/65610840,,372425
Stropharia ambigua,(Peck) Zeller ,Questionable Stropharia,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Strophariaceae,,,SNR,new 2018,documented,,,,,,43330,citizen1,https://www.inaturalist.org/observations/15737693,,53284
