Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Amphiodia periercta,"H.L. Clark, 1911",,long-armed burrowing brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea ,Ophintegrida ,Amphilepidida,Gnathophiurina ,Amphiuroidea,Amphiuridae,,,,reported,unobserved,1975-06-17,Philip Lambert,RBCM,975-00224-007,1898321940,,,,,,,"accessioned to RBCM as Diamphiodia periercta, unacc. according to WoRMS"
Florometra serratissima,"A.H. Clark, 1907",,feather star,Animalia,Echinodermata,Crinozoa,,Crinoidea,Articulata,,Comatulida,,Antedonoidea,Antedonidae,Heliometrinae,,,confirmed,observed,1960-06-21,Dan Quayle,RBCM,009-00308-001,1898303669,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854130,https://static.inaturalist.org/photos/3255965/medium.jpg?1459375515,,195902,
Evasterias troschelii,"(Stimpson, 1862)",,mottled star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,,confirmed,observed,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763504,https://static.inaturalist.org/photos/3127800/medium.jpg?1457578895,,84265,
Leptasterias hexactis,"(Stimpson, 1862)",,colourful six-armed star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,,reported,unobserved,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,reported as Leptasterias aequalis species complex
Orthasterias koehleri,"(de Loriol, 1897)",,rainbow star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854085,https://static.inaturalist.org/photos/3255923/medium.jpg?1459375132,,47669,
Pisaster brevispinus,"(Stimpson, 1857)",,giant pink star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763412,https://static.inaturalist.org/photos/3127654/medium.jpg?1457577558,,49539,
Pisaster ochraceus,"(Brandt, 1835)",,ochre star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Bridgit Spencer,http://www.inaturalist.org/observations/2423347,https://static.inaturalist.org/photos/2698246/medium.JPG?1448421054,,49699,
Pycnopodia helianthoides,"(Brandt, 1835)",,sunflower star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976203,https://static.inaturalist.org/photos/3420432/medium.jpg?1461098801,,47673,
Stylasterias forreri,"(de Loriol, 1887)",,velcro star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,,reported,unobserved,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Cucumaria miniata,"(Brandt, 1835)",,red sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Dendrochirotida,,,Cucumariidae,,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2016-06-06,Chessi Miltner,http://www.inaturalist.org/observations/3598651,https://static.inaturalist.org/photos/4166262/medium.jpg?1467510689,,117695,
Cucumaria pallida,"Kirkendale & Lambert, 1995",,pale sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Dendrochirotida,,,Cucumariidae,,,,reported,unobserved,2002-03-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Cucumaria piperata,"(Stimpson, 1864)",,salt & pepper sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Dendrochirotida,,,Cucumariidae,,,,reported,unobserved,1994-10-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Dendraster excentricus,"(Eschscholtz, 1831)",,eccentric sand dollar,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Neognathostomata,Clypeasteroida,Scutellina,Scutelloidea,Dendrasteridae,,,,confirmed,observed,1964-12-07,,RBCM,976-01146-014,1898270561,2018-05-22,Karolle Wall,https://www.inaturalist.org/observations/12744158,https://static.inaturalist.org/photos/18461407/medium.jpg?1527097132,,117696,no collector name listed in metadata
Henricia aspera,"Fisher, 1906",,ridged blood star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,,reported,unobserved,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Henricia leviuscula complex,"(Stimpson, 1857)",,Pacific blood star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,,confirmed,observed,1973-09-21,Andy Lamb & Donna Gibbs,PMLS,,,2015-01-01,Peter Luckham,http://www.inaturalist.org/observations/2797268,https://static.inaturalist.org/photos/3175019/medium.jpg?1458269907,,47664,"Roger Clark and Doug Ernisse are currently involved in a major taxonomic re-assessment of this ""species""; it appears that it is at least a complex but likely a number of species will be ""hived off; If you have a copy of Beneath Pacific Tides, Greg Jensen has a nice short summary; suggest ""blood stars Henricia leviuscula species complex""."
Henricia sanguinolenta,"(O.F. M么ller, 1776)",,fat blood star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,,confirmed,observed,2009-10-10,Andy Lamb & Donna Gibbs,PMLS,,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854681,https://static.inaturalist.org/photos/3256753/medium.jpg?1459380317,,62364,
Hippasteria phrygiana,"Verrill, 1909",,spiny red star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Hippasterinae,,,reported,unobserved,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Mediaster aequalis,"Stimpson, 1857",,vermilion star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Mediasterinae,,,reported,unobserved,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Gorgonocephalus eucnemis,"(M么ller & Troschel, 1842)",,basket star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Euryalida,,,Gorgonocephalidae,Gorgonocephalinae,,,reported,unobserved,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Luidia foliolata,"Grube, 1866",,sand star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Paxillosida,,,Luidiidae,,,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,977-00454-001,1898300918,,,,,,,
Ophiopholis kennerlyi,"Lyman, 1860",,daisy brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Ophiurida,Ophiurina,,Ophiactidae,,,,confirmed,observed,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,2014-03-24,Karolle Wall,http://www.inaturalist.org/observations/3705819,https://static.inaturalist.org/photos/4303255/medium.jpg?1468964141,,56685,
Ophiura luetkenii,"Lyman, 1860",,gray brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Ophiurida,Ophiurina,,Ophiuridae,Ophiurinae,,,confirmed,observed,1973-06-14,Philip Lambert,RBCM,973-00137-009,1898306018,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976586,https://static.inaturalist.org/photos/3420779/medium.jpg?1461100170,misspelled 'Ophiura lutkeni' in GBIF dataset,255865,
Ophiura sarsii,"Lutken, 1855",,notched brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Ophiurida,Ophiurina,,Ophiuridae,Ophiurinae,,,reported,unobserved,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Pentamera sp.,,,,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Dendrochirotida,,,Phyllophoridae,,,,reported,unobserved,2006-06-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Dermasterias imbricata,"(Grube, 1857)",,leather star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Poraniidae,,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2015-02-12,Lauren Magner,http://www.inaturalist.org/observations/2565768,https://static.inaturalist.org/photos/2859772/medium.JPG?1452301706,,63382,
Psolidium bidiscum,"Lambert, 1996",,pale creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Dendrochirotida,,,Psolidae,,,,reported,unobserved,1996-09-28,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Psolus chitonoides,"Clark, 1901",,creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Dendrochirotida,,,Psolidae,,,,reported,unobserved,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Psolus squamatus,"(O.F. M么ller, 1776)",,white creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Dendrochirotida,,,Psolidae,,,,reported,unobserved,2008-10-09,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Pteraster tesselatus,"Ives, 1888",,slime star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Pterasteridae,,,,confirmed,observed,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975879,https://static.inaturalist.org/photos/3419976/medium.jpg?1461096883,,194701,
Eupentacta quinquesemita,"(Selenka, 1867)",,stiff-footed sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Dendrochirotida,,,Sclerodactylidae,,,,confirmed,observed,1986-04-08,,RBCM,986-00191-030,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763482,https://static.inaturalist.org/photos/3127765/medium.jpg?1457578525,,51695,no collector name listed in metadata
Solaster stimpsoni,"Verrill, 1880",,striped sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854839,https://static.inaturalist.org/photos/3256951/medium.jpg?1459382364,,208013,
Crossaster papposus,"(Linnaeus, 1767)",,rose star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,,,reported,unobserved,1973-06-14,Philip Lambert,RBCM,973-00137-010,1898297964,,,,,,,
Solaster dawsoni,"Verrill, 1880",,morning sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,,,reported,unobserved,,,RBCM,976-01146-012,1898264650,,,,,,,collector name and date missing from metadata
Solaster endeca,"(Linnaeus, 1771)",,northern sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,,,reported,unobserved,1999-05-05,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Apostichopus californicus,"(Stimpson, 1857)",,giant sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Synallactida,,,Stichopodidae,,,,confirmed,observed,1986-04-08,,RBCM,986-00191-032,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854136,https://static.inaturalist.org/photos/3255976/medium.jpg?1459375588,,202640,missing RBCM metadata; accessioned to RBCM as Parastichopus califorrnicus; record not included in GBIF dataset
Mesocentrotus franciscanus,"(A. Agassiz, 1863)",,red sea urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763458,https://static.inaturalist.org/photos/3127729/medium.jpg?1457578193,,49126,
Strongylocentrotus droebachiensis,"(O.F. M么ller, 1776)",,green sea urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,,,confirmed,observed,1986-04-08,BC Hydro - submerged cable,RBCM,986-00191-021,,2018-08-11,Samantha Fulgham,https://www.inaturalist.org/observations/18992768,https://static.inaturalist.org/photos/29122441/original.jpeg?1544683642,,120070,no collector name listed in metadata
Strongylocentrotus pallidus,"(G.O. Sars, 1871)",,white sea urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,,,reported,unobserved,1986-04-08,,RBCM,986-00191-013,,,,,,,,previously misidentified as Strongylocentrotus fragilis; no collector name listed in metadata
Strongylocentrotus purpuratus,"(Stimpson, 1857)",,purple urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea ,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,,,reported,unobserved,1986-04-08,,RBCM,986-00191-012,,,,,,,,no collector name listed in metadata
Leptosynapta transgressor,"Heding, 1928",,subtidal burrowing sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Apodida,,,Synaptidae,,,,reported,unobserved,2013-10-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,