Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Provenance,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Acarnus erithacus,"Laubenfels, 1927",,thick encrusting scarlet sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Acarnidae,,Acarnus,native,unlisted,reported,unobserved,2008-08-29,Andy Lamb,PMLS,,,,,,,63669,
Adocia sp.,,,pale orange carpet sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Chalinidae,,Adocia,,,reported,unobserved,1994-09-10,Andy Lamb,PMLS,,,,,,,464717,
Amphilectus digitatus,"(Miklucho-Maclay, 1870)",,glove sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Esperiopsidae,,Amphilectus,native,unlisted,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,,,,,,459874,
Antho (Plocamia) karykina,"(Laubenfels, 1927)",,bright red sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Microcionidae,,Antho,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,reported as Plocamia karykina,345142,
Aphrocallistes vastus,"Schulze, 1886",,cloud sponge,Animalia,Porifera,,,Hexactinellida ,Hexasterophora,,Sceptrulophora ,,,Aphrocallistidae ,,Aphrocallistes,native,unlisted,confirmed,observed,2011-10-30,Jackson Chu,RBCM,016-00066-001,,2007-10-23,Jackson Chu,https://inaturalist.ca/observations/8459011,,424651,
Aplysilla polyraphis,"Laubenfels, 1930",,slippery purple sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,Aplysilla,native,unlisted,reported,unobserved,2008-11-12,Andy Lamb,PMLS,,,,,,,216652,
Aplysilla sp.nov.,,,slippery rose sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,Aplysilla,,,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,,,,,sp. nov.,63646,
Clathria (Microciona) pennata,"(Lambe, 1895)",,red velvety sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Microcionidae,,Clathria,native,unlisted,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,63672,
Clathrina sp.,,,lattice-skin sponge,Animalia,Porifera,,,Calcarea,Calcinea,,Clathrinida,,,Clathrinidae,,Clathrina,,,reported,unobserved,2017-06-30,Andy Lamb,PMLS,,,,,,,122021,
Cliona californiana,"Laubenfels, 1932",,yellow boring sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Clionaida,,,Clionaidae,,Cliona,native,unlisted,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,424811,
Craniella villosa,"Lambe, 1893",,tennis ball sponge,Animalia,Porifera,,,Demospongiae,Tetractinomorpha,,Spirophorida,,,Tetillidae,,Craniella,native,unlisted,confirmed,observed,1985-08-02,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975867,,459732,
Desmacella austini,"Lehnert, Conway, Barrie & Krautter, 2005",,thin encrusting Desmacella,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Desmacellida,,,Desmacellidae,,Desmacella,native,unlisted,new 2007,observed,,,,,,2007-10-23,Jackson Chu,https://inaturalist.ca/observations/59908535,,459736,
Halichondria (Eumastia) sitiens,"(Schmidt, 1870)",,breast sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Halichondriidae,,Halichondria,native,unlisted,reported,unobserved,2007-12-15,Andy Lamb,PMLS,,,,,,,459775,
Halichondria (Halichondria) bowerbanki,"Burton, 1930",,Bowerbank's crumb of bread sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Halichondriidae,,Halichondria,native,unlisted,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,120498,
Halichondria (Halichondria) panicea,"(Pallas, 1766)",,yellow-green encrusting sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Halichondriidae,,Halichondria,native,unlisted,reported,unobserved,1968-08-02,Andy Lamb,PMLS,,,,,,,186854,
Haliclona (Haliclona) sp.nov.,,,gnarled finger sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Chalinidae,,Haliclona,,,reported,unobserved,2006-11-11,Andy Lamb,PMLS,,,,,,sp. nov.,129864,"Reported as Reniera sp.nov. ""Adocia originally included Haplosclerida with Haliclona skeletal structure and a distinct ectosome. The genus was synonymized with Haliclona subgenus Haliclona by de Weerdt, W.H. (2002) in Systema Porifera"" (Bruce Ott pers. comm., 2021)."
Hamigera sp.,,,orange cratered encrusting sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Hymedesmiidae,,Hamigera,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,342247,
Heterochone calyx,"(Schulze, 1886)",,fingered goblet sponge,Animalia,Porifera,,,Hexactinellida ,Hexasterophora,,Sceptrulophora ,,,Aphrocallistidae,,Heterochone,native,unlisted,reported,unobserved,2012,Jackson Chu,Chu (2012),,,,,,,424648,
Homaxinella amphispicula,"(Laubenfels, 1961)",,tough yellow branching sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Suberitidae,,Homaxinella,native,unlisted,reported,unobserved,1999-05-04,Andy Lamb,PMLS,,,,,,misspelled Hamaxinella amphispicula,459847,
Iophon lamella,"Wilson, 1904",,white reticulated sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Acarnidae,,Iophon,native,unlisted,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,196333,
Isodictya rigida,"(Lambe, 1893)",,orange finger sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Esperiopsidae,,Isodictya,,,reported,unobserved,1960-12-22,W. Clemens,RBCM,981-00064-001,1898268969,,,,reported as Amphilectus rigida (GBIF); as Neoesperiopsis rigida (RBCM),459878,
Leucandra heathi,"Urban, 1906",,bristly vase sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Grantiidae,,Leucandra,native,unlisted,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,345357,
Leucilla nuttingi,"(Urban, 1902)",,stalked vase sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Amphoriscidae,,Leucilla,native,unlisted,confirmed,observed,1985-07-29,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975914,,117713,
Leucosolenia eleanor,"Urban, 1906",,spaghetti sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Leucosoleniidae,,Leucosolenia,native,unlisted,reported,unobserved,2006-06-23,Andy Lamb,PMLS,,,,,,,424817,
Leucosolenia nautilia,"Laubenfels, 1930",,lacy ball sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Leucosoleniidae,,Leucosolenia,native,unlisted,reported,unobserved,1994-09-10,Andy Lamb,PMLS,,,,,,,347319,
Mycale (Aegogropila) adhaerens,"(Lambe, 1893)",,smooth scallop sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Mycalidae,,Mycale,native,unlisted,reported,unobserved,1999-07-31,Charlie Gibbs,PMLS,,,,,,,256010,
Myxilla (Myxilla) incrustans,"(Johnston, 1842)",,rough scallop sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Myxillidae,,Myxilla,native,unlisted,reported,unobserved,1973-06-14,Philip Lambert,RBCM,973-00137-003,1898298302,,,,,256019,
Myxilla (Myxilla) lacunosa,"Lambe, 1893",,sulphur sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Myxillidae,,Myxilla,native,unlisted,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,459826,
Pachychalina sp.,,,thick-strap sponges,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Niphatidae,,Pachychalina,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,873877,
Pleraplysilla sp.nov.,,,slippery white sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dictyoceratida,,,Dysideidae,,Pleraplysilla,,,reported,unobserved,2006-09-29,Andy Lamb,PMLS,,,,,,sp. nov.,623055,
Polymastia pachymastia,"Laubenfels, 1932",,aggregated nipple sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Hadromerida,,,Polymastiidae,,Polymastia,native,unlisted,confirmed,observed,1994-10-07,Andy Lamb,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763468,,117717,
Rhabdocalyptus dawsoni,"(Lambe, 1893)",,boot sponge,Animalia,Porifera,,,Hexactinellida ,Hexasterophora,,Lyssacinosida,,,Rossellidae,Acanthascinae,Rhabdocalyptus,native,unlisted,confirmed,observed,2008-05-22,Jackson Chu,Chu (2010),,,2007-10-23,Jackson Chu,https://inaturalist.ca/observations/59908562,,459736,
Semisuberites cribrosa,"(Miklucho-Maclay, 1870)",,funnel sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Esperiopsidae,,Semisuberites,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,194571,
Suberites concinnus,"Lambe, 1895",,peach ball sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Suberitidae,,Suberites,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,873889,
Suberites latus,"Lambe, 1893",,hermit crab sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Suberitidae,,Suberites,native,unlisted,reported,unobserved,2007-12-29,Andy Lamb,PMLS,,,,,,,473057,
Sycon spp.,,,tiny vase sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Sycettidae,,Sycon,,,reported,unobserved,1994-10-07,Andy Lamb,PMLS,,,,,,,347738,
Tethya californiana,"Laubenfels, 1932",,orange rough ball sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Tethyida,,,Tethyidae,,Tethya,native,unlisted,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,,,,,,127233,
Tetilla sp.,,,,Animalia,Porifera,,,Demospongiae,Tetractinomorpha,,Spirophorida,,,Tetillidae,,Tetilla,,,reported,unobserved,2008-05-21,Jackson Chu,Chu (2010),,,,,,,247194,
Weberella perlucida,"Austin, Ott, Reiswig, Romagosa & McDaniel, 2014",,retractable nipple sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Polymastiida,,,Polymastiidae,,Weberella,native,unlisted,reported,unobserved,2007-10-21,Andy Lamb,PMLS,,,,,,,424640,
Xestospongia hispida,"(Ridley & Dendy, 1886)",,hard gnarled clump sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Petrosiidae,,Xestospongia,native,unlisted,reported,unobserved,2005-12-10,Andy Lamb,PMLS,,,,,,,873856,