Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Aplidium californicum,"(Ritter & Forsyth, 1917)",California sea pork,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Polyclinidae,,,,reported,unobserved,1994-10-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Aplidium solidum,"(Ritter & Forsyth, 1917)",red ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Polyclinidae,,,,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Ascidia columbiana,"(Huntsman, 1912)",sea blisters,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Phlebobranchia,,,Ascidiidae,,,,reported,unobserved,2011-11-18,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Ascidia paratropa,"(Huntsman, 1912)",glassy tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Phlebobranchia,,,Ascidiidae,,,,reported,unobserved,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Bathypera feminalba,"Young & Vazquez, 1995",tiny white tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Stolidobranchia,,,Pyuridae,,,,reported,unobserved,2009-04-04,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Boltenia villosa,"(Stimpson, 1864)",hairy tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Pleurogona,,,Pyuridae,,,,confirmed,observed,1986-04-08,,RBCM,986-00191-019,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854899,https://static.inaturalist.org/photos/3257040/medium.jpg?1459383044,,194568,no metadata in RBCM catalogue
Botrylloides violaceus,"Oka, 1927",lined compound ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Stolidobranchia,,,Styelidae,,,,reported,unobserved,2007-10-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Chelyosoma productum,"Stimpson, 1864",disc-top tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Phlebobranchia,,,Corellidae,,,,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Ciona savignyi,"Herdman, 1882",sea vase,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Phlebobranchia,,,Cionidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Clavelina huntsmani,"Van Name, 1931",light-bulb tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Social,,Aplousobranchia,,,Clavelinidae,,,,reported,unobserved,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Cnemidocarpa finmarkiensis,"(Kiaer, 1893)",broadbase tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Pleurogona,,,Styelidae,,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2013-07-24,Karolle Wall,http://www.inaturalist.org/observations/4015210,https://static.inaturalist.org/photos/3420358/medium.jpg?1461098569,,47807,
Corella inflata,"Huntsman, 1912",brooding transparent tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Phlebobranchia,,,Corellidae,,,,reported,unobserved,1999-07-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Corella willmeriana,"Herdman, 1898",transparent tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Phlebobranchia,,,Corellidae,,,,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNI 1989-0211,,,,,,,,
Cystodytes lobatus,"(Ritter, 1900)",lobed compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Polycitoridae,,,,reported,unobserved,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Didemnum carnulentum,"Ritter & Forsyth, 1917",Pacific white crust,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Didemnidae,,,,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Didemnum spp.,,white glove leather,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Didemnidae,,,,confirmed,observed,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976349,https://static.inaturalist.org/photos/3420624/medium.jpg?1461099539,,55512,Didemnum spp. in our dive log data for Galiano Island is most likely via our Didemnun/Trididemnum category. This category has traditionally been used for encrusting whitish compound tunicate that often forms large sheets . We have followed this procedure based upon Gretchen Lambert's advice. An impossible task to go further in the field and without specimen sampling.
Didemnum vexillum,"Kott, 2002",carpet sea squirt,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Didemnidae,,,,reported,unobserved,2013-10-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Diplosoma listerianum,"(Milne-Edwards, 1841)",gray encrusting compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Didemnidae,,,,reported,unobserved,1999-07-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Distaplia occidentalis,"Bancroft, 1899",mushroom compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Holozoidae,,,,confirmed,observed,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Larry Taylor,https://www.inaturalist.org/observations/30012080,https://static.inaturalist.org/photos/46864041/medium.jpeg?1564701493,,347339,
Eudistoma molle,"(Ritter, 1900)",red-dotted compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Polycitoridae,,,,reported,unobserved,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Eudistoma purpuropunctatum,"Lambert, 1989",mauve lobed compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Enterogona,,,Polycitoridae,,,,reported,unobserved,2008-11-12,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,492675,
Halocynthia aurantium,"(Pallas, 1787)",Pacific sea peach,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Stolidobranchia,,,Pyuridae,,,,reported,unobserved,1973-06-14,Philip Lambert,RBCM,973-00137-008,1898284570,,,,,,473652,
Halocynthia igaboja,"Oka, 1906",bristly tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Pleurogona,,,Pyuridae,,,,confirmed,observed,1994-02-26,Andy Lamb & Donna Gibbs,PMLS,,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854905,https://static.inaturalist.org/photos/3257048/medium.jpg?1459383148,,428524,
Metandrocarpa taylori,"Huntsman, 1912",orange social tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Social,,Stolidobranchia,,,Styelidae,,,,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Molgula pacifica,"(Huntsman, 1912)",globular ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Stolidobranchia,,,Molgulidae,,,,reported,unobserved,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Perophora annectens,"Ritter, 1893",yellow social tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Social,,Phlebobranchia,,,Perophoridae,,,,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Pycnoclavella stanleyi,"Berrill & Abbott, 1949",yellow social ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,Social,,Aplousobranchia,,,Clavelinidae,,,,reported,unobserved,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Pyura haustor,"(Stimpson, 1864)",warty tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Stolidobranchia,,,Pyuridae,,,,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Pyura mirabilis,"(Von Drasche, 1884)",Aladdin's lamp tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Stolidobranchia,,,Pyuridae,,,,reported,unobserved,2013-10-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Styela gibbsii,"Stimpson, 1864",brown tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Stolidobranchia,,,Styelidae,,,,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Styela montereyensis,"(Dall, 1872)",stalked tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Pleurogona,,,Styelidae,,,,new 1978,observed,,,,,,1978-02-19,Rick Harbo,https://www.inaturalist.org/observations/31752058,https://static.inaturalist.org/photos/49728830/original.jpeg?1567113798,,333922,
Synoicum parfustis,"(Ritter & Forsyth, 1917)",peach-coloured compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Polyclinidae,,,,reported,unobserved,1999-07-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Trididemnum alexi,"Lambert, 2003",speckled compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Didemnidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,